	MBJT10257157ST	MBJT10474933ST	MBJT13029530ST	MBJT13966914ST	MBJT14741058ST	MBJT14761965ST	MBJT18793872ST	MBJT19172978ST	MBJT19739988ST	MBJT20352487ST	MBJT22022613ST	MBJT22320456ST	MBJT23133014ST	MBJT23337260ST	MBJT24075712ST	MBJT24417068ST	MBJT24770375ST	MBJT25397146ST	MBJT26681707ST	MBJT28436807ST	MBJT28723736ST	MBJT30331144ST	MBJT32951253ST	MBJT34036667ST	MBJT34220088ST	MBJT35001732ST	MBJT35016775ST	MBJT35058600ST	MBJT39080170ST	MBJT40306752ST	MBJT40435704ST	MBJT40701160ST	MBJT40707177ST	MBJT41036209ST	MBJT41854002ST	MBJT42733650ST	MBJT42917972ST	MBJT44556531ST	MBJT44953060ST	MBJT46290466ST	MBJT47043226ST	MBJT47281689ST	MBJT47376024ST	MBJT47759212ST	MBJT47974019ST	MBJT54042978ST	MBJT54598736ST	MBJT54773511ST	MBJT55041082ST	MBJT55704347ST	MBJT55763017ST	MBJT56486370ST	MBJT57869938ST	MBJT58818096ST	MBJT59111766ST	MBJT61117564ST	MBJT61614909ST	MBJT61989978ST	MBJT63497322ST	MBJT63917436ST	MBJT64178099ST	MBJT64323881ST	MBJT65314632ST	MBJT66677231ST	MBJT69789353ST	MBJT71206045ST	MBJT71304142ST	MBJT72446095ST	MBJT73212715ST	MBJT73621698ST	MBJT75354344ST	MBJT75856433ST	MBJT76001019ST	MBJT77404830ST	MBJT77767153ST	MBJT79021931ST	MBJT79123647ST	MBJT82870648ST	MBJT83133832ST	MBJT83294902ST	MBJT85450199ST	MBJT85948313ST	MBJT87587928ST	MBJT89319187ST	MBJT90536787ST	MBJT90543779ST	MBJT91924888ST	MBJT92561737ST	MBJT92636570ST	MBJT93071877ST	MBJT94530819ST	MBJT97792954ST
-1	23615198	18390337	21718883	28778005	26095378	25366120	25841805	17503639	20921844	24483915	19850258	22920535	21844665	21451230	19859836	23398075	20467325	22005508	19040501	22079616	16080429	19232738	20607758	20190435	25374568	21394885	25794786	26219525	18633074	21084240	21599377	24585426	20449310	22207628	20245444	19649014	22930040	26182805	29439338	18958917	18354016	27998557	20055775	15465573	18110526	24972450	22329511	22004064	13546972	19548386	18283196	29866590	18218338	21012419	19232767	18836445	17058785	22935114	21495322	19160531	22921395	24874872	20578901	18533576	19899876	23056769	18426794	22661822	15991658	21799320	20400502	18578832	20843417	19933843	25607999	20037300	19893368	22590190	20843155	18359892	24790987	21077471	22447287	22459765	21775289	22067331	20195661	19665802	18674948	22157586	21078573	20442952
M00001	199903	130491	185616	207544	224352	158933	192385	142184	177391	223163	162337	50683	201209	192599	166599	161709	160274	169230	175596	160819	146005	136770	173375	176346	194044	195558	226592	176481	183490	235880	197232	234862	136667	191985	175248	160607	196120	199135	211888	154233	152872	188209	185072	126620	162750	221754	202386	171884	108417	167762	154436	232887	161633	163318	172729	177291	141297	188736	179870	164813	174735	194967	147641	171916	172619	201448	152128	199843	132449	204067	175741	155355	188167	155120	193740	163442	169381	206158	172579	148712	172224	188189	187897	145696	195365	191637	162690	170161	161782	185385	174839	201241
M00002	101118	61594	94227	111980	113296	81196	101542	72995	92204	111719	90441	23546	102249	96066	85332	93339	81348	86937	93806	90305	72497	79986	94580	90468	98581	102953	113946	87820	92257	110337	97463	123525	72604	97347	90926	84360	101988	97762	105002	84211	78802	102886	93830	67964	83836	116605	114364	97267	59483	87631	73510	121028	84686	84566	91185	86161	69828	100810	96824	84289	90646	100891	76155	90534	89394	103081	83279	100464	73270	113890	87217	80768	97084	87813	102783	84253	87279	105317	87654	78785	98540	96259	97914	95993	101136	92489	83185	91322	84967	85731	91358	107887
M00003	136820	84899	119517	150701	149146	114008	132024	95688	122379	149876	114526	33819	131212	123571	112054	118672	96792	119622	115607	117172	96087	105470	117748	122823	129219	126900	152483	113678	125267	149119	126515	150360	101702	128960	119151	111119	135749	132295	140162	111724	103847	132921	123195	90955	112511	150134	143952	133330	77959	117394	99379	149702	111057	110353	112502	112092	90433	129148	124323	111420	119642	138148	101961	112472	118521	134206	108409	134863	101815	135146	113278	107346	123492	116603	135848	110169	114800	135442	119492	100742	132661	121557	129709	130670	129050	122773	111253	114399	110660	129276	118879	137290
M00004	101746	75510	90127	128426	116502	96855	104532	72828	93533	122993	79928	68837	95288	92412	89389	80003	56926	103001	90470	92820	88656	73977	85440	99900	110201	114018	115907	94792	96463	108411	100881	113373	94813	108228	95580	85405	108386	122399	117533	75720	79485	116869	88263	72884	85206	113326	91847	94815	64552	102015	79355	115336	92498	89177	78481	90222	68251	112003	89127	82856	105428	121687	86848	82373	94263	102368	80133	110172	82233	89397	87285	105406	94449	78219	118937	91824	94564	98867	103135	69719	97213	91351	96047	79579	94510	100077	91931	76245	89708	106468	102440	92483
M00005	11022	7639	12603	10694	16812	8079	12582	10040	11950	14495	9860	1906	12510	14292	11259	11267	9722	8790	16059	9764	7966	8636	13210	11515	9186	14080	14914	9641	14116	18143	14413	12280	5972	10177	10019	11967	10170	7980	8489	10403	9540	8481	13528	6869	12451	13364	12478	11337	7267	8963	8166	14596	7691	10473	12185	10684	7969	12296	11345	11031	12370	10262	6997	10329	10806	13052	11109	11597	6332	11667	12253	7497	11684	9561	11799	10227	9642	13229	9139	9510	12258	11542	13678	8004	12376	12317	8992	12418	10144	10907	11061	14408
M00006	37899	24577	20566	50481	27714	34807	26860	19809	28577	27602	24231	12387	17383	18733	23390	21969	16065	39620	26441	33541	26763	20523	18617	36226	43379	41177	30386	31728	29325	22208	21387	24843	33573	38868	34529	19928	40102	49375	48722	20183	21152	47441	21266	25185	22698	31683	23428	31350	16855	27233	24831	30162	33188	25092	14861	23279	18389	35953	25114	21111	35887	41502	34989	18532	30284	26148	20748	30094	19182	17273	19609	42577	26377	23708	46168	25425	25303	20794	38477	15551	28515	23674	24037	18745	20831	25496	31635	16637	21791	36180	31445	23644
M00007	48869	39134	52880	61734	67530	49313	61515	40253	48783	75234	41365	51931	60082	56340	51702	40517	28897	47894	48299	41848	50096	38830	49868	48777	49715	55674	63502	46470	51640	67075	61730	67341	49700	50964	46033	50435	53223	51317	49861	39270	45010	51886	50839	36101	46699	63078	50757	46020	36080	60695	42746	63593	45673	50274	47850	51879	37559	57104	48311	45708	52012	63262	37575	47447	49109	59726	41942	63019	51032	53990	52429	46684	52669	35889	55445	51492	55424	60691	49316	41634	50988	51691	53425	48072	55769	58514	46051	44243	52322	50265	56277	50482
M00008	38931	25645	25037	48819	32961	34042	28740	21946	32409	34048	25785	12759	19768	22789	26592	24995	19639	39435	25898	35780	29627	21630	21122	36448	41895	36913	32996	32618	29550	26428	25948	27717	34755	38502	34775	23503	40610	47314	47932	25135	22131	46426	23437	25584	24342	34121	27152	39256	20029	33288	27211	32533	33567	26299	18081	25507	19754	36360	27252	22043	41262	43140	34343	20497	31921	28761	23439	34759	23142	20348	23341	43683	27966	28838	48184	28087	29163	24407	39412	17923	30873	26854	27099	22573	23950	27224	31422	20209	24121	36699	34667	27038
M00009	185863	111386	124676	182593	160638	144742	163426	107768	133060	181043	126664	54219	152311	125648	126189	142203	155175	143334	129182	139671	132299	133887	110486	144571	157938	150883	168733	140335	135065	141662	138743	147545	125234	159812	146847	118488	149031	172045	186495	122343	111334	177971	141111	122471	161655	162319	144737	164287	98681	172916	132024	170806	144933	124686	108914	131015	108413	150306	136032	132499	140545	202187	130207	111180	136515	150445	118241	179455	142070	120348	126726	135186	151378	136472	176343	128992	143406	130056	158366	108758	162265	122369	139381	181514	139541	143210	137410	112294	133343	134757	168360	131954
