	MBJT10257157ST	MBJT10474933ST	MBJT13029530ST	MBJT13966914ST	MBJT14741058ST	MBJT14761965ST	MBJT18793872ST	MBJT19172978ST	MBJT19739988ST	MBJT20352487ST	MBJT22022613ST	MBJT22320456ST	MBJT23133014ST	MBJT23337260ST	MBJT24075712ST	MBJT24417068ST	MBJT24770375ST	MBJT25397146ST	MBJT26681707ST	MBJT28436807ST	MBJT28723736ST	MBJT30331144ST	MBJT32951253ST	MBJT34036667ST	MBJT34220088ST	MBJT35001732ST	MBJT35016775ST	MBJT35058600ST	MBJT39080170ST	MBJT40306752ST	MBJT40435704ST	MBJT40701160ST	MBJT40707177ST	MBJT41036209ST	MBJT41854002ST	MBJT42733650ST	MBJT42917972ST	MBJT44556531ST	MBJT44953060ST	MBJT46290466ST	MBJT47043226ST	MBJT47281689ST	MBJT47376024ST	MBJT47759212ST	MBJT47974019ST	MBJT54042978ST	MBJT54598736ST	MBJT54773511ST	MBJT55041082ST	MBJT55704347ST	MBJT55763017ST	MBJT56486370ST	MBJT57869938ST	MBJT58818096ST	MBJT59111766ST	MBJT61117564ST	MBJT61614909ST	MBJT61989978ST	MBJT63497322ST	MBJT63917436ST	MBJT64178099ST	MBJT64323881ST	MBJT65314632ST	MBJT66677231ST	MBJT69789353ST	MBJT71206045ST	MBJT71304142ST	MBJT72446095ST	MBJT73212715ST	MBJT73621698ST	MBJT75354344ST	MBJT75856433ST	MBJT76001019ST	MBJT77404830ST	MBJT77767153ST	MBJT79021931ST	MBJT79123647ST	MBJT82870648ST	MBJT83133832ST	MBJT83294902ST	MBJT85450199ST	MBJT85948313ST	MBJT87587928ST	MBJT89319187ST	MBJT90536787ST	MBJT90543779ST	MBJT91924888ST	MBJT92561737ST	MBJT92636570ST	MBJT93071877ST	MBJT94530819ST	MBJT97792954ST
-1	19810227	15478761	18210307	24167604	21750125	21726383	21702419	14730581	17455503	19932893	16653151	21609295	18205659	17923468	16503436	19779009	17204288	18461892	15699334	18409646	12959402	15930406	17353576	16607717	21134744	17741818	21534859	22463941	15296809	17287665	18025847	20410461	17340621	18294833	16730604	16436676	18974528	21696267	24323012	15834079	15465549	23240212	16515029	12749376	14762843	20654028	18627858	18071568	11161408	15648833	15200888	25440071	14995511	17680959	16062298	15494224	14270793	18996639	18033996	15999946	19295762	20158700	17404078	15355103	16416115	19241454	15344009	18498792	12838674	18192775	17140297	15272209	17316940	16546618	21188082	16544677	16393064	18906908	17191593	15512304	20744326	17616709	18785415	18464004	18105089	18453153	16724270	16360741	15430604	18514090	17248297	16874889
ko00010	462220	303040	410109	488049	520325	372992	459064	332996	400034	549814	355218	142144	431555	422136	391641	362629	366744	392305	409451	367162	375306	322139	385459	396084	431485	435480	514462	398508	403977	525556	456664	488800	338377	426147	393239	374333	437104	479477	461517	342821	341771	438432	402589	307424	379147	484701	440870	388464	265764	464890	359285	518159	365246	362179	372113	403326	307452	440393	400230	363296	377166	518891	331404	366790	389209	451887	355055	509200	351940	430042	393323	381252	412574	345300	455045	384850	416252	447202	405626	326738	417047	405231	444108	372454	424758	432549	365039	358315	374252	399752	456626	436165
ko00020	270094	157643	193005	258460	255979	204458	263435	167890	201154	270143	185385	69407	240609	203901	193371	204960	232385	206272	190689	206677	182808	191509	187118	205950	228570	212547	259021	210068	200917	224566	219890	234157	173502	236411	210866	189376	219780	242921	252374	184218	173876	249068	214424	176602	224053	243858	222143	239545	145447	241987	187714	256161	207346	190728	179566	201322	161416	231252	208448	214557	207978	277050	183871	172838	202483	230027	180022	262049	194748	211420	203032	192825	226519	201893	253087	192559	205682	213954	222651	166808	240301	189841	218699	244821	216610	220602	197653	175824	206033	202439	240007	214471
ko00030	278370	193353	251900	298213	316152	241051	286762	200294	256216	333572	209565	121537	260071	260598	240355	222865	171255	256990	241841	231112	227455	194201	236863	261486	268247	271749	309363	233946	269099	317838	277785	301328	218020	271613	249582	233412	277388	292525	291276	215401	211714	281884	242203	179878	221762	299418	254109	267272	168200	277035	208890	296537	227099	231653	221087	238219	181002	276834	243931	224794	259120	316901	211901	217749	250773	272530	216950	304163	215352	254799	244083	240220	247500	220237	294464	238774	251682	275222	257874	198924	255202	247996	267088	212655	262909	257201	232476	218397	230024	269723	268914	261220
ko00040	180744	180161	193115	237606	233128	189978	212911	168366	192599	240275	142787	98841	169871	173732	167901	180408	117590	200177	151076	172490	198255	169022	140442	209237	245102	182969	203632	178545	187849	230197	165641	212083	171178	204041	194801	154287	205130	298101	319760	177523	155479	270901	174115	122729	191718	211409	188184	245598	115190	215778	164652	204345	163743	176188	143498	174511	129271	184289	160583	143482	210572	260006	161215	153176	181096	193857	138050	231590	217515	149560	168232	172553	178407	156760	242952	189278	191844	181879	193463	171812	189188	174573	175532	246964	184861	164816	198676	172421	141745	194793	209784	195234
ko00051	366841	291687	312605	435098	400130	373145	314749	256488	314149	404127	290689	130747	300810	311023	305739	300758	259886	353729	287952	304322	318298	278578	255285	323195	366924	296721	399590	305200	285622	406865	341842	342541	280267	344389	306403	275032	361294	436452	443269	287830	260350	399730	308946	228720	285946	374162	342199	353162	226800	390428	253648	374633	285466	285128	262484	295618	222550	335868	292253	262433	347013	429127	315669	275401	305514	349306	301047	413581	314794	275926	289669	287526	306886	327958	393723	311762	329650	316951	332299	256450	343148	293741	317198	317013	307124	315671	302918	273577	266045	337722	355331	354686
ko00052	428613	438826	469886	660313	559383	477608	542861	395954	480149	496099	402211	121161	466708	441748	415955	410177	477024	509709	455143	524354	422873	387170	353030	521018	645814	542386	560927	533322	484641	522149	439951	500170	393669	586253	514273	381761	567096	705041	840996	384759	365299	744554	437257	312640	458202	566670	457045	563207	265739	421422	399522	567243	440206	443614	367717	441498	344913	560346	428301	372303	472900	620848	472806	395514	452197	500701	372966	500469	378119	389512	407895	438365	471442	422257	578543	464953	427491	444342	494360	351533	435537	449114	464570	442483	457582	457679	487149	397562	406002	520757	454752	499928
ko00053	50506	51974	37153	62806	43605	44297	44113	29714	39846	88485	29349	42791	34467	33144	46141	30340	35482	45410	37300	32681	87613	40103	26729	41045	54122	44784	43701	32224	41863	51215	49428	40462	53443	39797	37930	39371	44765	65981	80750	35440	34669	52449	33477	45078	33714	40481	35843	45351	45905	118525	38597	41243	44152	33641	24987	43097	26705	37405	35609	30283	42671	86565	38523	30747	36361	40201	41455	92984	76412	29547	38766	49885	35877	30618	65571	51175	73771	36549	56101	30600	51976	34834	38890	44106	33661	31913	35799	31353	38049	41063	94136	43761
ko00061	157968	90196	116628	164450	137271	119350	107300	95098	116192	134873	105415	32108	107805	111627	108577	114357	68092	139797	114161	122446	87794	106491	93624	138742	151116	150219	139320	128136	141485	115537	104698	133547	88041	141021	128183	96576	145973	150603	181013	112330	99791	176078	121761	85527	117932	136559	127488	127493	67225	102606	104647	157455	116012	113990	99161	128240	94474	133732	122952	94933	113047	163389	111261	113602	124757	128907	97961	134850	104767	126048	104681	109119	125562	104901	146417	110448	110114	118553	130604	92251	135339	120442	136312	142282	122345	120596	126864	103963	98271	125319	106683	118171
ko00062	1	8	1	1	59	2	0	0	3	1	1	0	0	6	0	7	12	3	2	0	0	0	0	1	1	3	6	0	0	3	27	50	1	0	8	8	1	2	1	24	0	0	46	0	1	0	3	0	1	47	0	0	0	13	34	0	0	5	0	4	5	1	1	1	10	0	1	0	0	0	2	0	0	2	0	1	0	1	2	0	3	2	0	0	11	1	1	4	4	0	4	0
