	MMPC19392645OR	MMPC19392645OR	MMPC13726847ST	MMPC13726847ST	MMPC12800445ST	MMPC12800445ST	MMPC16706723ST	MMPC16706723ST	MMPC16651671ST	MMPC16651671ST	MMPC21449543ST	MMPC21449543ST	MMPC17251241ST	MMPC17251241ST	MMPC24035292ST	MMPC24035292ST	MMPC16382508ST	MMPC16382508ST	MMPC20689138ST	MMPC19824023OR	MMPC52849207OR	MMPC19824023OR	MMPC52849207OR	MMPC20689138ST	MMPC52574889OR	MMPC30948868ST	MMPC53642802ST	MMPC52574889OR	MMPC53642802ST	MMPC30948868ST	MMPC34174031ST	MMPC34174031ST	MMPC54012223OR	MMPC28881424OR	MMPC54944306ST	MMPC54944306ST	MMPC54012223OR	MMPC28881424OR	MMPC40914520ST	MMPC22312907ST	MMPC54160426OR	MMPC32262645OR	MMPC40914520ST	MMPC54160426OR	MMPC32262645OR	MMPC54455576OR	MMPC22312907ST	MMPC54455576OR	MMPC23660755ST	MMPC55889507OR	MMPC51170653OR	MMPC55889507OR	MMPC51170653OR	MMPC23660755ST	MMPC22175846ST	MMPC55860177OR	MMPC56085636OR	MMPC56843559OR	MMPC55860177OR	MMPC56843559OR	MMPC56085636OR	MMPC22175846ST	MMPC11597832ST	MMPC60840390ST	MMPC60840390ST	MMPC61873807OR	MMPC61873807OR	MMPC52379257ST	MMPC60116897OR	MMPC60116897OR	MMPC57142773OR	MMPC52379257ST	MMPC27383418OR	MMPC57142773OR	MMPC59659730ST	MMPC55225619ST	MMPC59659730ST	MMPC63364113ST	MMPC48152369ST	MMPC55225619ST	MMPC63364113ST	MMPC48152369ST	MMPC27383418OR	MMPC41357154OR	MMPC41357154OR	MMPC64423720OR	MMPC64423720OR	MMPC63628582OR	MMPC66171614OR	MMPC63628582OR	MMPC66171614OR	MMPC65407889OR	MMPC65407889OR	MMPC60219907OR	MMPC59362655ST	MMPC19619725ST	MMPC60219907OR	MMPC65662501ST	MMPC65662501ST	MMPC59362655ST	MMPC57477276OR	MMPC57469621ST	MMPC64434180ST	MMPC64434180ST	MMPC57477276OR	MMPC19619725ST	MMPC55161862ST	MMPC57469621ST	MMPC65022621OR	MMPC65022621OR	MMPC59151585ST	MMPC58110896OR	MMPC58110896OR	MMPC63481302ST	MMPC55161862ST	MMPC59151585ST	MMPC62647302OR	MMPC63481302ST	MMPC11597832ST	MMPC62647302OR	MMPC71889536OR	MMPC71889536OR	MMPC54830782ST	MMPC68695449ST	MMPC68695449ST	MMPC82779175ST	MMPC54830782ST	MMPC82779175ST	MMPC83679680ST	MMPC83679680ST	MMPC95862719OR	MMPC95862719OR	MMPC73162206OR	MMPC73162206OR	MMPC68638114OR	MMPC65660081OR	MMPC68638114OR	MMPC65660081OR	MMPC99615156ST	MMPC99615156ST	MMPC64507639OR	MMPC64507639OR	MMPC87948870OR	MMPC87948870OR	MMPC86976445OR	MMPC84070936OR	MMPC86976445OR	MMPC84070936OR	MMPC88343716ST	MMPC88343716ST	MMPC83312436ST	MMPC85565182OR	MMPC83312436ST	MMPC85565182OR	MMPC67317135ST	MMPC93983194ST	MMPC67317135ST	MMPC72235353OR	MMPC93983194ST	MMPC72235353OR	MMPC12345974ST	MMPC11113549ST	MMPC11113549ST	MMPC84979047ST	MMPC84979047ST	MMPC12345974ST	MMPC96182596ST	MMPC96182596ST	MMPC82784238ST	MMPC82784238ST	MMPC68480658ST	MMPC68480658ST	MMPC63233635ST	MMPC63233635ST	MMPC14211565ST	MMPC49013463ST	MMPC14211565ST	MMPC49013463ST	MMPC73667956ST	MMPC61634104ST	MMPC61634104ST	MMPC73667956ST	MMPC53747560ST	MMPC53747560ST	MMPC23673679ST	MMPC96048560ST	MMPC23673679ST	MMPC96048560ST	MMPC43926327ST	MMPC43926327ST	MMPC10431544ST	MMPC10431544ST
-1	15235342	15235342	26657388	26657388	32392244	32392244	46462552	46462552	59007997	59007997	33846260	33846260	68327159	68327159	27261605	27261605	28663451	28663451	60697698	12384475	19358662	12384475	19358662	60697698	5668605	41973894	25364981	5668605	25364981	41973894	18935068	18935068	12903347	18800501	16393306	16393306	12903347	18800501	32353231	47566603	13595164	18849022	32353231	13595164	18849022	9091447	47566603	9091447	51519978	10841879	7774916	10841879	7774916	51519978	68504093	21888835	7428834	7740182	21888835	7740182	7428834	68504093	73215179	23490476	23490476	5925403	5925403	61882046	13745896	13745896	18112678	61882046	186936821	18112678	43196208	54924949	43196208	22817536	82859621	54924949	22817536	82859621	186936821	26461384	26461384	6594698	6594698	12916555	7984098	12916555	7984098	9867588	9867588	11230574	64753727	79710764	11230574	30954360	30954360	64753727	219737908	58676601	49135708	49135708	219737908	79710764	57815526	58676601	17219835	17219835	66126055	6613205	6613205	56060125	57815526	66126055	18790303	56060125	73215179	18790303	6749452	6749452	48994316	30457325	30457325	29671417	48994316	29671417	31099187	31099187	12472948	12472948	14249445	14249445	19451734	15624405	19451734	15624405	26355467	26355467	12406051	12406051	6743547	6743547	6170926	25123800	6170926	25123800	49461716	49461716	35545222	20944131	35545222	20944131	42826348	31722239	42826348	13414031	31722239	13414031	93978949	43810661	43810661	60390513	60390513	93978949	106342843	106342843	57075387	57075387	834600656	834600656	924069407	924069407	708209433	776109668	708209433	776109668	775736826	350160592	350160592	775736826	661843994	661843994	748895133	688623882	748895133	688623882	993903166	993903166	907822454	907822454
br01600	5050	5050	130634	130634	126920	126920	127712	127712	122786	122786	67106	67106	151303	151303	89913	89913	101772	101772	197992	24331	8712	24331	8712	197992	10221	137135	36354	10221	36354	137135	50696	50696	8138	30085	58966	58966	8138	30085	82920	161425	29200	34781	82920	29200	34781	13504	161425	13504	185803	27614	18751	27614	18751	185803	189160	15820	11578	28081	15820	28081	11578	189160	142086	94599	94599	3728	3728	150717	16704	16704	35104	150717	20301	35104	181515	240739	181515	83216	190105	240739	83216	190105	20301	37941	37941	23753	23753	14979	10248	14979	10248	19431	19431	23059	137750	215560	23059	135178	135178	137750	21324	180280	190598	190598	21324	215560	187419	180280	24461	24461	115842	19549	19549	143726	187419	115842	34844	143726	142086	34844	7050	7050	159162	74391	74391	128711	159162	128711	66345	66345	3886	3886	17350	17350	34385	17728	34385	17728	90468	90468	45093	45093	12090	12090	16570	47270	16570	47270	95295	95295	115606	51904	115606	51904	97856	115479	97856	37517	115479	37517	347577	173625	173625	191818	191818	347577	289386	289386	120672	120672	1029891	1029891	2699301	2699301	2872606	2442217	2872606	2442217	2191176	694580	694580	2191176	2336895	2336895	1361643	2159087	1361643	2159087	2138886	2138886	2765296	2765296
br01601	311322	311322	439390	439390	560223	560223	603368	603368	846856	846856	524438	524438	1109332	1109332	423063	423063	348001	348001	792202	195302	608508	195302	608508	792202	100130	718880	375231	100130	375231	718880	387379	387379	265108	383217	261251	261251	265108	383217	781897	663911	374783	354021	781897	374783	354021	175691	663911	175691	576663	177458	110192	177458	110192	576663	1032085	418654	110529	145718	418654	145718	110529	1032085	1136565	423860	423860	58408	58408	967999	325261	325261	316949	967999	3741189	316949	703828	723941	703828	321239	1097557	723941	321239	1097557	3741189	593164	593164	123591	123591	274674	79883	274674	79883	221777	221777	188625	963107	1261748	188625	560393	560393	963107	4576463	861717	685661	685661	4576463	1261748	655942	861717	440003	440003	937090	159569	159569	753399	655942	937090	492428	753399	1136565	492428	86747	86747	666540	529385	529385	397546	666540	397546	545991	545991	364232	364232	219995	219995	316592	344570	316592	344570	438307	438307	303418	303418	104033	104033	130645	681953	130645	681953	640960	640960	450221	656966	450221	656966	710613	501861	710613	217481	501861	217481	1300507	627323	627323	765063	765063	1300507	1328511	1328511	664641	664641	10166744	10166744	13103398	13103398	9640457	11598377	9640457	11598377	9939210	6207974	6207974	9939210	9163062	9163062	8454054	8931837	8454054	8931837	12143307	12143307	13386004	13386004
br01602	1214	1214	13599	13599	6650	6650	14819	14819	20622	20622	10513	10513	20064	20064	7333	7333	14297	14297	11714	1767	927	1767	927	11714	1451	7979	7395	1451	7395	7979	54758	54758	2063	7426	4712	4712	2063	7426	1713	13979	3384	1114	1713	3384	1114	1766	13979	1766	41454	1309	584	1309	584	41454	37727	2064	568	817	2064	817	568	37727	5543	3272	3272	209	209	20942	1008	1008	2886	20942	5567	2886	6375	14472	6375	7897	22554	14472	7897	22554	5567	13940	13940	475	475	1161	294	1161	294	2230	2230	2116	28348	31283	2116	30165	30165	28348	3924	10535	14951	14951	3924	31283	16982	10535	342	342	32631	4280	4280	16085	16982	32631	3224	16085	5543	3224	553	553	56105	10760	10760	4361	56105	4361	4721	4721	512	512	1055	1055	824	6335	824	6335	4667	4667	5162	5162	2860	2860	1819	1052	1819	1052	12978	12978	19101	2812	19101	2812	17996	40689	17996	1519	40689	1519	19625	12920	12920	12667	12667	19625	14709	14709	14610	14610	168548	168548	235069	235069	165400	142180	165400	142180	317317	197714	197714	317317	237295	237295	350708	161392	350708	161392	239724	239724	204396	204396
br01610	939916	939916	1141523	1141523	1292300	1292300	1981789	1981789	2578569	2578569	1327901	1327901	3220422	3220422	917868	917868	918551	918551	2442298	997140	833804	997140	833804	2442298	397972	1699292	808680	397972	808680	1699292	1056125	1056125	925019	1144163	497490	497490	925019	1144163	1619374	1489559	1423417	1122305	1619374	1423417	1122305	913769	1489559	913769	1720173	479333	751045	479333	751045	1720173	2425198	1457256	469633	978681	1457256	978681	469633	2425198	2365538	974159	974159	312066	312066	2366452	777775	777775	1645737	2366452	11134119	1645737	2166428	2059612	2166428	859198	3343234	2059612	859198	3343234	11134119	2220755	2220755	661721	661721	1078426	460961	1078426	460961	785731	785731	693892	2784814	3789614	693892	1224488	1224488	2784814	15463052	2502414	2190656	2190656	15463052	3789614	2482296	2502414	1769894	1769894	3260284	788881	788881	2452227	2482296	3260284	1361172	2452227	2365538	1361172	365463	365463	2133648	1214887	1214887	1004113	2133648	1004113	1089145	1089145	467674	467674	1128360	1128360	1843719	1122083	1843719	1122083	1132334	1132334	1201779	1201779	383929	383929	479450	2064852	479450	2064852	1933289	1933289	1569125	2402657	1569125	2402657	1858120	1399824	1858120	1258519	1399824	1258519	4060620	1980271	1980271	2294692	2294692	4060620	4306951	4306951	1803785	1803785	29839168	29839168	42916261	42916261	24213153	40122187	24213153	40122187	33345271	15853601	15853601	33345271	22691420	22691420	27465754	30954222	27465754	30954222	39215369	39215369	46169742	46169742
br01611	246152	246152	366570	366570	395412	395412	344193	344193	522036	522036	306220	306220	540222	540222	240327	240327	195285	195285	505107	185611	159892	185611	159892	505107	79253	527789	243394	79253	243394	527789	278950	278950	210936	259955	182632	182632	210936	259955	471267	354294	189748	267971	471267	189748	267971	143102	354294	143102	382361	122874	99168	122874	99168	382361	593856	350815	88819	130993	350815	130993	88819	593856	382232	284354	284354	43584	43584	476897	220984	220984	290713	476897	3070029	290713	489468	442645	489468	248890	615813	442645	248890	615813	3070029	445776	445776	100804	100804	223237	61031	223237	61031	145837	145837	167848	503182	651880	167848	389782	389782	503182	3204048	454892	394580	394580	3204048	651880	378541	454892	232280	232280	553982	121430	121430	435336	378541	553982	260489	435336	382232	260489	73723	73723	352716	342589	342589	273874	352716	273874	368037	368037	113566	113566	173337	173337	283129	243249	283129	243249	322845	322845	274084	274084	84193	84193	92905	268777	92905	268777	475579	475579	306142	400609	306142	400609	405538	305107	405538	196987	305107	196987	665392	376869	376869	495889	495889	665392	627429	627429	430561	430561	5302066	5302066	7103504	7103504	5178048	6484944	5178048	6484944	5571365	4092125	4092125	5571365	4827206	4827206	4797264	5106015	4797264	5106015	7147538	7147538	7658010	7658010
ko00000	18900387	18900387	34623050	34623050	38456982	38456982	57185156	57185156	74774976	74774976	42193053	42193053	84828770	84828770	34337180	34337180	30889069	30889069	67579669	20518734	19579084	20518734	19579084	67579669	9146083	54167568	30557732	9146083	30557732	54167568	33272624	33272624	16872549	31408241	19626431	19626431	16872549	31408241	46259143	51843745	24405903	27111137	46259143	24405903	27111137	14548237	51843745	14548237	60140588	13059419	12158016	13059419	12158016	60140588	81072274	27490482	11062573	14674281	27490482	14674281	11062573	81072274	80619092	29849699	29849699	5275385	5275385	71207690	19559674	19559674	33113320	71207690	230320714	33113320	54866270	61470443	54866270	26473301	97194131	61470443	26473301	97194131	230320714	53353367	53353367	10723793	10723793	18716801	9449415	18716801	9449415	15638109	15638109	18258192	76913197	102747943	18258192	42127514	42127514	76913197	276697625	67837122	56154872	56154872	276697625	102747943	60213734	67837122	28731809	28731809	84037247	13668862	13668862	67886654	60213734	84037247	30846813	67886654	80619092	30846813	7361542	7361542	63269716	39187359	39187359	31346649	63269716	31346649	36536491	36536491	13102368	13102368	22122926	22122926	33508844	27940685	33508844	27940685	32519884	32519884	26017868	26017868	9171084	9171084	11501424	38516138	11501424	38516138	61059267	61059267	42670847	45996316	42670847	45996316	55641927	46628913	55641927	23267460	46628913	23267460	108429780	52129232	52129232	71251528	71251528	108429780	102003616	102003616	61650434	61650434	909802277	909802277	1070655101	1070655101	768030755	961748310	768030755	961748310	878210440	472505360	472505360	878210440	747927380	747927380	848870528	779251621	848870528	779251621	1139534241	1139534241	1101739602	1101739602
ko00001	11755945	11755945	21091093	21091093	23570300	23570300	34320412	34320412	45010028	45010028	25412988	25412988	51706309	51706309	20901084	20901084	18333742	18333742	40134389	12669641	12478538	12669641	12478538	40134389	5612378	32552499	18714849	5612378	18714849	32552499	20176860	20176860	10677416	19328163	11808605	11808605	10677416	19328163	28846155	31122749	15293961	16535954	28846155	15293961	16535954	9305817	31122749	9305817	35054967	8127195	7753504	8127195	7753504	35054967	48983954	17207023	6988682	9440796	17207023	9440796	6988682	48983954	48009457	18015140	18015140	3251611	3251611	42564239	11869232	11869232	20952383	42564239	145969389	20952383	33888535	36525695	33888535	16046790	58359753	36525695	16046790	58359753	145969389	32334848	32334848	6899195	6899195	11925260	5763047	11925260	5763047	9981495	9981495	11333590	46446514	61076800	11333590	25295671	25295671	46446514	178769453	40607561	33904007	33904007	178769453	61076800	36577906	40607561	18228152	18228152	51024069	8468649	8468649	40757667	36577906	51024069	19369520	40757667	48009457	19369520	4527646	4527646	37349834	23775267	23775267	18951185	37349834	18951185	22422824	22422824	8109967	8109967	13966476	13966476	21583743	16980978	21583743	16980978	19561918	19561918	16210057	16210057	5660645	5660645	7066419	23791914	7066419	23791914	36332872	36332872	25694150	29681386	25694150	29681386	34076248	28518813	34076248	14558731	28518813	14558731	65019044	31684606	31684606	42431621	42431621	65019044	61884419	61884419	36320127	36320127	550012253	550012253	648603270	648603270	461717637	581888820	461717637	581888820	520250052	293554915	293554915	520250052	446817562	446817562	505585098	466909477	505585098	466909477	674693554	674693554	663617232	663617232
ko00002	7942750	7942750	14160650	14160650	15425936	15425936	23340740	23340740	31104444	31104444	17149262	17149262	34580424	34580424	13884215	13884215	12015346	12015346	26222895	8491857	9232687	8491857	9232687	26222895	3768190	22566657	12455886	3768190	12455886	22566657	13219126	13219126	7310318	13334463	7880932	7880932	7310318	13334463	19089793	20503969	10592347	11463465	19089793	10592347	11463465	6404864	20503969	6404864	23029920	5459041	5301187	5459041	5301187	23029920	32186446	11569315	4769947	6564661	11569315	6564661	4769947	32186446	31033386	11966096	11966096	2433705	2433705	28834385	8601967	8601967	13890264	28834385	100888884	13890264	22106061	24145133	22106061	10855761	40159083	24145133	10855761	40159083	100888884	21364525	21364525	4744844	4744844	8156307	3712385	8156307	3712385	6830842	6830842	7509132	31868391	39744876	7509132	16977010	16977010	31868391	122632765	26658916	22624273	22624273	122632765	39744876	23849916	26658916	12596324	12596324	34592674	5898623	5898623	27927219	23849916	34592674	13331524	27927219	31033386	13331524	2996193	2996193	24983583	15923584	15923584	12436724	24983583	12436724	14594058	14594058	5884001	5884001	9589627	9589627	14511574	11800867	14511574	11800867	13061792	13061792	10856874	10856874	3772489	3772489	4815051	16235991	4815051	16235991	24051720	24051720	17404580	20577209	17404580	20577209	22751303	18834195	22751303	9853409	18834195	9853409	43373694	21052185	21052185	27515489	27515489	43373694	39010595	39010595	24391162	24391162	363755433	363755433	429696288	429696288	299864818	387682249	299864818	387682249	351688624	202429230	202429230	351688624	291043483	291043483	336827876	308797140	336827876	308797140	466066801	466066801	437820663	437820663
ko00194	97417	97417	187963	187963	253419	253419	434233	434233	662083	662083	303372	303372	562269	562269	349031	349031	188984	188984	333910	113493	81638	113493	81638	333910	60352	456230	283677	60352	283677	456230	154301	154301	91792	159662	136968	136968	91792	159662	279618	241372	119999	116532	279618	119999	116532	89314	241372	89314	358319	64998	60691	64998	60691	358319	482447	137057	54309	67564	137057	67564	54309	482447	869275	209717	209717	21894	21894	459738	62733	62733	180616	459738	1063616	180616	312573	420835	312573	177339	584021	420835	177339	584021	1063616	259174	259174	50275	50275	100034	34049	100034	34049	79824	79824	105772	585187	514679	105772	202341	202341	585187	1115400	388975	367635	367635	1115400	514679	336834	388975	127076	127076	700277	83234	83234	486601	336834	700277	160920	486601	869275	160920	35374	35374	360382	337411	337411	163493	360382	163493	172571	172571	64911	64911	105727	105727	156777	146952	156777	146952	205631	205631	134873	134873	50236	50236	63623	159416	63623	159416	397898	397898	296623	244061	296623	244061	445157	236586	445157	133056	236586	133056	774524	351157	351157	828283	828283	774524	440836	440836	365987	365987	7708766	7708766	6716117	6716117	4008644	5134977	4008644	5134977	5400674	2415765	2415765	5400674	4082818	4082818	6454247	4168181	6454247	4168181	8919528	8919528	6347251	6347251
