	MMPC19392645OR	MMPC19392645OR	MMPC13726847ST	MMPC13726847ST	MMPC12800445ST	MMPC12800445ST	MMPC16706723ST	MMPC16706723ST	MMPC16651671ST	MMPC16651671ST	MMPC21449543ST	MMPC21449543ST	MMPC17251241ST	MMPC17251241ST	MMPC24035292ST	MMPC24035292ST	MMPC16382508ST	MMPC16382508ST	MMPC20689138ST	MMPC19824023OR	MMPC52849207OR	MMPC19824023OR	MMPC52849207OR	MMPC20689138ST	MMPC52574889OR	MMPC30948868ST	MMPC53642802ST	MMPC52574889OR	MMPC53642802ST	MMPC30948868ST	MMPC34174031ST	MMPC34174031ST	MMPC54012223OR	MMPC28881424OR	MMPC54944306ST	MMPC54944306ST	MMPC54012223OR	MMPC28881424OR	MMPC40914520ST	MMPC22312907ST	MMPC54160426OR	MMPC32262645OR	MMPC40914520ST	MMPC54160426OR	MMPC32262645OR	MMPC54455576OR	MMPC22312907ST	MMPC54455576OR	MMPC23660755ST	MMPC55889507OR	MMPC51170653OR	MMPC55889507OR	MMPC51170653OR	MMPC23660755ST	MMPC22175846ST	MMPC55860177OR	MMPC56085636OR	MMPC56843559OR	MMPC55860177OR	MMPC56843559OR	MMPC56085636OR	MMPC22175846ST	MMPC11597832ST	MMPC60840390ST	MMPC60840390ST	MMPC61873807OR	MMPC61873807OR	MMPC52379257ST	MMPC60116897OR	MMPC60116897OR	MMPC57142773OR	MMPC52379257ST	MMPC27383418OR	MMPC57142773OR	MMPC59659730ST	MMPC55225619ST	MMPC59659730ST	MMPC63364113ST	MMPC48152369ST	MMPC55225619ST	MMPC63364113ST	MMPC48152369ST	MMPC27383418OR	MMPC41357154OR	MMPC41357154OR	MMPC64423720OR	MMPC64423720OR	MMPC63628582OR	MMPC66171614OR	MMPC63628582OR	MMPC66171614OR	MMPC65407889OR	MMPC65407889OR	MMPC60219907OR	MMPC59362655ST	MMPC19619725ST	MMPC60219907OR	MMPC65662501ST	MMPC65662501ST	MMPC59362655ST	MMPC57477276OR	MMPC57469621ST	MMPC64434180ST	MMPC64434180ST	MMPC57477276OR	MMPC19619725ST	MMPC55161862ST	MMPC57469621ST	MMPC65022621OR	MMPC65022621OR	MMPC59151585ST	MMPC58110896OR	MMPC58110896OR	MMPC63481302ST	MMPC55161862ST	MMPC59151585ST	MMPC62647302OR	MMPC63481302ST	MMPC11597832ST	MMPC62647302OR	MMPC71889536OR	MMPC71889536OR	MMPC54830782ST	MMPC68695449ST	MMPC68695449ST	MMPC82779175ST	MMPC54830782ST	MMPC82779175ST	MMPC83679680ST	MMPC83679680ST	MMPC95862719OR	MMPC95862719OR	MMPC73162206OR	MMPC73162206OR	MMPC68638114OR	MMPC65660081OR	MMPC68638114OR	MMPC65660081OR	MMPC99615156ST	MMPC99615156ST	MMPC64507639OR	MMPC64507639OR	MMPC87948870OR	MMPC87948870OR	MMPC86976445OR	MMPC84070936OR	MMPC86976445OR	MMPC84070936OR	MMPC88343716ST	MMPC88343716ST	MMPC83312436ST	MMPC85565182OR	MMPC83312436ST	MMPC85565182OR	MMPC67317135ST	MMPC93983194ST	MMPC67317135ST	MMPC72235353OR	MMPC93983194ST	MMPC72235353OR	MMPC12345974ST	MMPC11113549ST	MMPC11113549ST	MMPC84979047ST	MMPC84979047ST	MMPC12345974ST	MMPC96182596ST	MMPC96182596ST	MMPC82784238ST	MMPC82784238ST	MMPC68480658ST	MMPC68480658ST	MMPC63233635ST	MMPC63233635ST	MMPC14211565ST	MMPC49013463ST	MMPC14211565ST	MMPC49013463ST	MMPC73667956ST	MMPC61634104ST	MMPC61634104ST	MMPC73667956ST	MMPC53747560ST	MMPC53747560ST	MMPC23673679ST	MMPC96048560ST	MMPC23673679ST	MMPC96048560ST	MMPC43926327ST	MMPC43926327ST	MMPC10431544ST	MMPC10431544ST
-1	33549784	33549784	59718769	59718769	68771139	68771139	101202937	101202937	130494219	130494219	74038782	74038782	148977322	148977322	59815821	59815821	58255363	58255363	124426221	32073168	38395772	32073168	38395772	124426221	14483624	93792294	54404468	14483624	54404468	93792294	50780291	50780291	29218786	49028148	35057767	35057767	29218786	49028148	76278946	96899874	37032634	45060127	76278946	37032634	45060127	23113269	96899874	23113269	109204828	23310958	19468778	23310958	19468778	109204828	145803850	48565011	18043245	21805506	48565011	21805506	18043245	145803850	149405227	51770396	51770396	11021686	11021686	130104750	32858306	32858306	49735735	130104750	410496306	49735735	95214977	113455373	95214977	48129025	175680185	113455373	48129025	175680185	410496306	77608263	77608263	16873220	16873220	30971486	16991628	30971486	16991628	24850562	24850562	28755365	138556089	177278884	28755365	71425114	71425114	138556089	485445339	123221395	102601366	102601366	485445339	177278884	114870841	123221395	44826974	44826974	146439455	19796919	19796919	120962218	114870841	146439455	48553061	120962218	149405227	48553061	13845734	13845734	109585421	67821276	67821276	59306231	109585421	59306231	65546975	65546975	25247526	25247526	35411468	35411468	51551038	42574032	51551038	42574032	57337674	57337674	37421548	37421548	15559151	15559151	17271459	61991295	17271459	61991295	107612885	107612885	76560064	65021031	76560064	65021031	95817736	76325437	95817736	35758787	76325437	35758787	197210696	93431319	93431319	127935758	127935758	197210696	201670790	201670790	115784792	115784792	1702004634	1702004634	1943397335	1943397335	1437081673	1693911564	1437081673	1693911564	1614882370	802683818	802683818	1614882370	1374857013	1374857013	1565233999	1428543997	1565233999	1428543997	2087347008	2087347008	1950606870	1950606870
AA10	11	11	669	669	335	335	1000	1000	1121	1121	528	528	1146	1146	1100	1100	1915	1915	1212	3	12	3	12	1212	17	1815	738	17	738	1815	12578	12578	8	2	264	264	8	2	437	1821	44	10	437	44	10	39	1821	39	9486	44	24	44	24	9486	1939	16	13	4	16	4	13	1939	165	777	777	1	1	3627	2	2	4	3627	24	4	821	1069	821	331	2026	1069	331	2026	24	7	7	4	4	80	0	80	0	11	11	54	1428	1132	54	6976	6976	1428	41	818	1325	1325	41	1132	1308	818	21	21	744	0	0	2820	1308	744	55	2820	165	55	9	9	10977	722	722	205	10977	205	124	124	2	2	45	45	9	1	9	1	592	592	15	15	14	14	1	88	1	88	1243	1243	637	39	637	39	2781	8581	2781	22	8581	22	2054	1070	1070	482	482	2054	2413	2413	2198	2198	16539	16539	35169	35169	31843	7852	31843	7852	27640	18335	18335	27640	22591	22591	135098	10520	135098	10520	30190	30190	15931	15931
AA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM15	9	9	135	135	233	233	511	511	1124	1124	733	733	103	103	954	954	1974	1974	16	3	11	3	11	16	17	51	579	17	579	51	12374	12374	5	2	215	215	5	2	43	1519	41	10	43	41	10	18	1519	18	9084	6	15	6	15	9084	913	13	13	4	13	4	13	913	105	81	81	0	0	1456	0	0	4	1456	18	4	319	527	319	168	83	527	168	83	18	6	6	3	3	75	0	75	0	8	8	50	763	427	50	6680	6680	763	20	152	58	58	20	427	173	152	20	20	215	0	0	412	173	215	20	412	105	20	9	9	9596	28	28	397	9596	397	46	46	1	1	24	24	8	1	8	1	143	143	15	15	5	5	1	9	1	9	332	332	137	39	137	39	1495	8085	1495	16	8085	16	522	172	172	119	119	522	2323	2323	523	523	9767	9767	21842	21842	28384	2508	28384	2508	7906	18160	18160	7906	11926	11926	112783	5475	112783	5475	16045	16045	2407	2407
CBM18	0	0	9	9	0	0	8	8	0	0	10	10	3	3	12	12	1	1	13	0	0	0	0	13	0	4	1	0	1	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	418	0	0	0	0	0	0	418	1	1	1	0	0	5	0	0	0	5	0	0	22	1	22	7	1	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	2	158	0	9	9	2	0	0	0	0	0	158	0	0	0	0	3	0	0	13	0	3	0	13	1	0	0	0	463	1	1	40	463	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	12	0	12	0	0	0	0	0	0	0	256	0	0	5	5	256	0	0	1	1	1	1	17	17	85	5	85	5	954	367	367	954	701	701	10	26	10	26	95	95	61	61
CBM20	1290	1290	623	623	7162	7162	8147	8147	1865	1865	423	423	367	367	26562	26562	909	909	506	6478	1210	6478	1210	506	1248	375	21489	1248	21489	375	160	160	619	6696	9863	9863	619	6696	485	907	2133	13363	485	2133	13363	1395	907	1395	5827	10452	3154	10452	3154	5827	233	833	3362	2308	833	2308	3362	233	75958	276	276	1492	1492	5464	2667	2667	19127	5464	5524	19127	483	2654	483	1045	124	2654	1045	124	5524	14647	14647	1195	1195	1043	494	1043	494	4755	4755	6834	1188	588	6834	1174	1174	1188	4647	185	316	316	4647	588	3556	185	6341	6341	762	2062	2062	1102	3556	762	10543	1102	75958	10543	2664	2664	278	9008	9008	2088	278	2088	780	780	795	795	5630	5630	14125	4562	14125	4562	207	207	4346	4346	4197	4197	1049	15667	1049	15667	1576	1576	392	6505	392	6505	1224	192	1224	8015	192	8015	112	94	94	62243	62243	112	193	193	334	334	400230	400230	9559	9559	120899	6775	120899	6775	4854	60023	60023	4854	38033	38033	60835	10658	60835	10658	22153	22153	3957	3957
CBM39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM42	318	318	449	449	546	546	244	244	1714	1714	85	85	399	399	408	408	342	342	17	1627	210	1627	210	17	1586	41	89	1586	89	41	11	11	183	4732	12	12	183	4732	543	1245	2438	1024	543	2438	1024	933	1245	933	142	1057	485	1057	485	142	755	56	395	192	56	192	395	755	323	22	22	166	166	491	980	980	3297	491	1104	3297	40	180	40	670	247	180	670	247	1104	8016	8016	194	194	147	265	147	265	1658	1658	3602	312	511	3602	49	49	312	981	16	31	31	981	511	25	16	805	805	4229	2382	2382	3042	25	4229	3889	3042	323	3889	423	423	186	33	33	50	186	50	238	238	45	45	908	908	4796	1703	4796	1703	46	46	4723	4723	925	925	1438	3975	1438	3975	91	91	111	6152	111	6152	36	22	36	1953	22	1953	1769	47	47	47	47	1769	38	38	83	83	336	336	3902	3902	61	5435	61	5435	296	374	374	296	1072	1072	6925	2003	6925	2003	347	347	541	541
