	MMPC19392645OR	MMPC19392645OR	MMPC13726847ST	MMPC13726847ST	MMPC12800445ST	MMPC12800445ST	MMPC16706723ST	MMPC16706723ST	MMPC16651671ST	MMPC16651671ST	MMPC21449543ST	MMPC21449543ST	MMPC17251241ST	MMPC17251241ST	MMPC24035292ST	MMPC24035292ST	MMPC16382508ST	MMPC16382508ST	MMPC20689138ST	MMPC19824023OR	MMPC52849207OR	MMPC19824023OR	MMPC52849207OR	MMPC20689138ST	MMPC52574889OR	MMPC30948868ST	MMPC53642802ST	MMPC52574889OR	MMPC53642802ST	MMPC30948868ST	MMPC34174031ST	MMPC34174031ST	MMPC54012223OR	MMPC28881424OR	MMPC54944306ST	MMPC54944306ST	MMPC54012223OR	MMPC28881424OR	MMPC40914520ST	MMPC22312907ST	MMPC54160426OR	MMPC32262645OR	MMPC40914520ST	MMPC54160426OR	MMPC32262645OR	MMPC54455576OR	MMPC22312907ST	MMPC54455576OR	MMPC23660755ST	MMPC55889507OR	MMPC51170653OR	MMPC55889507OR	MMPC51170653OR	MMPC23660755ST	MMPC22175846ST	MMPC55860177OR	MMPC56085636OR	MMPC56843559OR	MMPC55860177OR	MMPC56843559OR	MMPC56085636OR	MMPC22175846ST	MMPC11597832ST	MMPC60840390ST	MMPC60840390ST	MMPC61873807OR	MMPC61873807OR	MMPC52379257ST	MMPC60116897OR	MMPC60116897OR	MMPC57142773OR	MMPC52379257ST	MMPC27383418OR	MMPC57142773OR	MMPC59659730ST	MMPC55225619ST	MMPC59659730ST	MMPC63364113ST	MMPC48152369ST	MMPC55225619ST	MMPC63364113ST	MMPC48152369ST	MMPC27383418OR	MMPC41357154OR	MMPC41357154OR	MMPC64423720OR	MMPC64423720OR	MMPC63628582OR	MMPC66171614OR	MMPC63628582OR	MMPC66171614OR	MMPC65407889OR	MMPC65407889OR	MMPC60219907OR	MMPC59362655ST	MMPC19619725ST	MMPC60219907OR	MMPC65662501ST	MMPC65662501ST	MMPC59362655ST	MMPC57477276OR	MMPC57469621ST	MMPC64434180ST	MMPC64434180ST	MMPC57477276OR	MMPC19619725ST	MMPC55161862ST	MMPC57469621ST	MMPC65022621OR	MMPC65022621OR	MMPC59151585ST	MMPC58110896OR	MMPC58110896OR	MMPC63481302ST	MMPC55161862ST	MMPC59151585ST	MMPC62647302OR	MMPC63481302ST	MMPC11597832ST	MMPC62647302OR	MMPC71889536OR	MMPC71889536OR	MMPC54830782ST	MMPC68695449ST	MMPC68695449ST	MMPC82779175ST	MMPC54830782ST	MMPC82779175ST	MMPC83679680ST	MMPC83679680ST	MMPC95862719OR	MMPC95862719OR	MMPC73162206OR	MMPC73162206OR	MMPC68638114OR	MMPC65660081OR	MMPC68638114OR	MMPC65660081OR	MMPC99615156ST	MMPC99615156ST	MMPC64507639OR	MMPC64507639OR	MMPC87948870OR	MMPC87948870OR	MMPC86976445OR	MMPC84070936OR	MMPC86976445OR	MMPC84070936OR	MMPC88343716ST	MMPC88343716ST	MMPC83312436ST	MMPC85565182OR	MMPC83312436ST	MMPC85565182OR	MMPC67317135ST	MMPC93983194ST	MMPC67317135ST	MMPC72235353OR	MMPC93983194ST	MMPC72235353OR	MMPC12345974ST	MMPC11113549ST	MMPC11113549ST	MMPC84979047ST	MMPC84979047ST	MMPC12345974ST	MMPC96182596ST	MMPC96182596ST	MMPC82784238ST	MMPC82784238ST	MMPC68480658ST	MMPC68480658ST	MMPC63233635ST	MMPC63233635ST	MMPC14211565ST	MMPC49013463ST	MMPC14211565ST	MMPC49013463ST	MMPC73667956ST	MMPC61634104ST	MMPC61634104ST	MMPC73667956ST	MMPC53747560ST	MMPC53747560ST	MMPC23673679ST	MMPC96048560ST	MMPC23673679ST	MMPC96048560ST	MMPC43926327ST	MMPC43926327ST	MMPC10431544ST	MMPC10431544ST
-1	24370186	24370186	42620193	42620193	49818753	49818753	72899295	72899295	94131905	94131905	53283765	53283765	106802442	106802442	41524532	41524532	43119629	43119629	92012188	22173060	28360408	22173060	28360408	92012188	10153030	67361889	38577398	10153030	38577398	67361889	35194921	35194921	20876347	32765862	25025255	25025255	20876347	32765862	52886450	70871366	25178481	31327313	52886450	25178481	31327313	16113735	70871366	16113735	80709859	16757522	13616025	16757522	13616025	80709859	105651778	35191467	12343964	14741264	35191467	14741264	12343964	105651778	105748438	37227662	37227662	8605061	8605061	95141588	22617822	22617822	33562629	95141588	296272529	33562629	67920235	83430624	67920235	35341517	127149772	83430624	35341517	127149772	296272529	51332606	51332606	11724132	11724132	21743422	12111353	21743422	12111353	17146697	17146697	19740619	100553472	128302020	19740619	50932167	50932167	100553472	350003478	89899135	75620490	75620490	350003478	128302020	85437466	89899135	30661207	30661207	105187250	13351772	13351772	87775160	85437466	105187250	33235624	87775160	105748438	33235624	10292493	10292493	78988679	48116971	48116971	44053347	78988679	44053347	47347059	47347059	18648528	18648528	24350234	24350234	34934327	28389936	34934327	28389936	41582263	41582263	24846913	24846913	11042840	11042840	11587396	43034423	11587396	43034423	77558557	77558557	55597448	42035346	55597448	42035346	68256913	53931096	68256913	24394739	53931096	24394739	143869018	67707625	67707625	91937796	91937796	143869018	151864678	151864678	85906342	85906342	1232983777	1232983777	1418036579	1418036579	1059618710	1220027434	1059618710	1220027434	1191110280	567272597	567272597	1191110280	1002671116	1002671116	1157856988	1052314884	1157856988	1052314884	1533395491	1533395491	1405479084	1405479084
1.1.1.1	6987	6987	76818	76818	38891	38891	77082	77082	123552	123552	65322	65322	100116	100116	31428	31428	48166	48166	86888	22490	14311	22490	14311	86888	12580	99615	31580	12580	31580	99615	75755	75755	14826	46202	18994	18994	14826	46202	73315	83479	48578	22837	73315	48578	22837	23651	83479	23651	107302	13659	23120	13659	23120	107302	124827	18904	15459	40174	18904	40174	15459	124827	23727	45745	45745	4984	4984	105320	17348	17348	57458	105320	45625	57458	62670	81044	62670	43906	137682	81044	43906	137682	45625	72572	72572	27381	27381	21173	11138	21173	11138	27517	27517	21583	115349	138231	21583	70627	70627	115349	33573	87313	60341	60341	33573	138231	66512	87313	58066	58066	125559	26188	26188	105273	66512	125559	43512	105273	23727	43512	6508	6508	114434	59168	59168	33072	114434	33072	48055	48055	7556	7556	35438	35438	52557	39966	52557	39966	46081	46081	58775	58775	14990	14990	12166	37511	12166	37511	79819	79819	68655	86495	68655	86495	83834	95097	83834	31102	95097	31102	154143	87951	87951	50249	50249	154143	70261	70261	86175	86175	863102	863102	1488155	1488155	936367	1519029	936367	1519029	1437819	791420	791420	1437819	894614	894614	1296986	984000	1296986	984000	1797855	1797855	1542367	1542367
1.1.1.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.100	341	341	3366	3366	241	241	2901	2901	2681	2681	628	628	676	676	796	796	643	643	2004	2012	1347	2012	1347	2004	783	1351	172	783	172	1351	344	344	878	1511	113	113	878	1511	179	997	3435	2093	179	3435	2093	2043	997	2043	680	860	2372	860	2372	680	2536	1757	1443	3623	1757	3623	1443	2536	581	200	200	409	409	2062	1285	1285	5312	2062	1261	5312	1833	685	1833	389	2122	685	389	2122	1261	2746	2746	2377	2377	1829	655	1829	655	1992	1992	1030	1055	1005	1030	580	580	1055	1243	454	240	240	1243	1005	1664	454	4365	4365	654	2040	2040	1363	1664	654	2623	1363	581	2623	428	428	806	1336	1336	469	806	469	662	662	707	707	3771	3771	5763	1423	5763	1423	79	79	3315	3315	914	914	976	3433	976	3433	1916	1916	5026	5806	5026	5806	306	2999	306	3630	2999	3630	1254	910	910	756	756	1254	445	445	737	737	51682	51682	13625	13625	8547	43539	8547	43539	22261	4624	4624	22261	18284	18284	10217	27526	10217	27526	18881	18881	6944	6944
1.1.1.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.102	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	63	63	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	39	0	0	0	39	0	0	0	0	2	0	0	8	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0	0	0	0	12	41	41	0	0	12	1	1	0	0	21	21	0	0	2	1	2	1	909	0	0	909	0	0	51	4	51	4	1	1	0	0
1.1.1.103	72	72	2648	2648	2436	2436	3829	3829	4599	4599	3027	3027	2619	2619	4422	4422	2291	2291	8053	169	49	169	49	8053	35	2751	2821	35	2821	2751	7628	7628	65	416	1166	1166	65	416	1099	3774	519	159	1099	519	159	63	3774	63	8450	44	3	44	3	8450	7477	129	216	23	129	23	216	7477	14579	1333	1333	6	6	3816	129	129	187	3816	1645	187	2020	2764	2020	1406	4217	2764	1406	4217	1645	62	62	29	29	76	11	76	11	63	63	838	4053	9459	838	4409	4409	4053	441	2885	2228	2228	441	9459	4689	2885	28	28	3197	6	6	3213	4689	3197	159	3213	14579	159	55	55	7443	1245	1245	1741	7443	1741	1874	1874	40	40	368	368	241	51	241	51	1128	1128	58	58	591	591	5	368	5	368	1424	1424	3046	389	3046	389	2272	8204	2272	122	8204	122	9534	1330	1330	10611	10611	9534	15620	15620	3571	3571	129401	129401	52238	52238	62073	37483	62073	37483	86053	14017	14017	86053	45440	45440	132154	46865	132154	46865	64163	64163	66593	66593
1.1.1.105	20	20	60	60	33	33	1756	1756	80	80	6	6	178	178	99	99	386	386	11	101	165	101	165	11	167	6	95	167	95	6	21	21	47	45	0	0	47	45	0	65	211	71	0	211	71	88	65	88	16	35	258	35	258	16	1	86	88	79	86	79	88	1	6	8	8	21	21	812	120	120	377	812	188	377	83	324	83	0	35	324	0	35	188	371	371	114	114	112	29	112	29	174	174	47	35	80	47	167	167	35	112	36	6	6	112	80	260	36	591	591	3	158	158	7	260	3	93	7	6	93	43	43	48	161	161	20	48	20	71	71	86	86	506	506	398	54	398	54	1	1	413	413	37	37	0	192	0	192	620	620	43	756	43	756	2	19	2	367	19	367	133	20	20	29	29	133	1	1	4	4	20247	20247	1943	1943	664	13842	664	13842	243	8837	8837	243	551	551	1099	1932	1099	1932	152	152	1255	1255
1.1.1.108	784	784	195	195	80	80	114	114	257	257	291	291	403	403	41	41	119	119	96	21	26	21	26	96	39	78	31	39	31	78	115	115	130	38	21	21	130	38	75	453	17	40	75	17	40	162	453	162	61	10	25	10	25	61	360	674	9	16	674	16	9	360	35	384	384	7	7	145	25	25	5	145	6479	5	700	89	700	78	840	89	78	840	6479	51	51	32	32	148	10	148	10	5	5	50	226	663	50	138	138	226	5532	150	1000	1000	5532	663	403	150	5	5	335	20	20	246	403	335	7	246	35	7	54	54	141	33	33	99	141	99	183	183	11	11	19	19	9	23	9	23	56	56	31	31	6	6	10	9	10	9	486	486	98	6	98	6	96	58	96	16	58	16	1148	117	117	129	129	1148	1989	1989	251	251	1909	1909	2938	2938	5065	1037	5065	1037	2959	2253	2253	2959	3266	3266	1501	915	1501	915	3491	3491	16012	16012
1.1.1.11	10	10	1500	1500	5	5	26	26	6	6	6	6	188	188	15	15	145	145	23	0	0	0	0	23	0	110	23	0	23	110	190	190	7	2	10	10	7	2	5	47	0	0	5	0	0	6	47	6	1448	0	1	0	1	1448	5372	9	0	0	9	0	0	5372	4	2	2	0	0	44	0	0	1	44	34	1	9	16	9	10	61	16	10	61	34	0	0	0	0	1	0	1	0	0	0	2	36	2807	2	125	125	36	51	3	23	23	51	2807	69	3	0	0	15	372	372	10	69	15	0	10	4	0	2	2	874	20	20	68	874	68	96	96	0	0	0	0	0	1	0	1	15	15	0	0	0	0	2	0	2	0	24	24	2507	0	2507	0	19	2142	19	0	2142	0	173	31	31	4	4	173	13	13	18	18	16135	16135	1758	1758	592	37	592	37	17868	247	247	17868	51	51	1715	3887	1715	3887	28	28	3125	3125
1.1.1.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0
1.1.1.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	12	6	12	6	0	0	0	0
1.1.1.122	7	7	106	106	25	25	29	29	238	238	28	28	91	91	7	7	23	23	191	0	0	0	0	191	0	37	0	0	0	37	60	60	3	0	3	3	3	0	51	94	0	0	51	0	0	4	94	4	104	0	0	0	0	104	92	2	0	0	2	0	0	92	32	48	48	0	0	52	0	0	0	52	12	0	25	73	25	6	257	73	6	257	12	0	0	0	0	5	0	5	0	0	0	0	75	392	0	10	10	75	15	240	52	52	15	392	25	240	0	0	70	0	0	60	25	70	2	60	32	2	0	0	150	43	43	2	150	2	35	35	0	0	0	0	2	0	2	0	50	50	0	0	0	0	0	0	0	0	32	32	542	0	542	0	35	25	35	0	25	0	88	6	6	27	27	88	188	188	32	32	782	782	1628	1628	1015	2821	1015	2821	1444	14	14	1444	1394	1394	464	1315	464	1315	1441	1441	2816	2816
1.1.1.127	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	17	17	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	0	3	16	16	0	0
1.1.1.130	17	17	1746	1746	551	551	511	511	357	357	897	897	607	607	1224	1224	2147	2147	2018	1	0	1	0	2018	0	888	519	0	519	888	10695	10695	37	63	306	306	37	63	701	712	1	5	701	1	5	4	712	4	9025	1	0	1	0	9025	594	1	0	2	1	2	0	594	188	376	376	0	0	2993	20	20	0	2993	163	0	1904	1549	1904	387	686	1549	387	686	163	7	7	0	0	4	0	4	0	3	3	5	2016	2123	5	5770	5770	2016	85	976	1644	1644	85	2123	604	976	25	25	1427	31	31	986	604	1427	3	986	188	3	1	1	9568	381	381	210	9568	210	1174	1174	0	0	0	0	3	18	3	18	827	827	29	29	38	38	0	3	0	3	360	360	859	7	859	7	4218	13053	4218	0	13053	0	4936	1190	1190	642	642	4936	3833	3833	500	500	14355	14355	45715	45715	61490	20147	61490	20147	13351	58944	58944	13351	16359	16359	170048	6301	170048	6301	16421	16421	25362	25362
1.1.1.132	47	47	751	751	1819	1819	1182	1182	1652	1652	3254	3254	5496	5496	755	755	805	805	7491	277	0	277	0	7491	4	1913	137	4	137	1913	797	797	25	254	365	365	25	254	4294	2111	37	45	4294	37	45	34	2111	34	531	95	20	95	20	531	7926	6	27	26	6	26	27	7926	164	5559	5559	9	9	1020	40	40	0	1020	73	0	3128	4577	3128	212	2725	4577	212	2725	73	161	161	9	9	9	0	9	0	67	67	257	2561	13225	257	1528	1528	2561	34	5975	2550	2550	34	13225	1480	5975	0	0	2140	104	104	1955	1480	2140	128	1955	164	128	9	9	2214	1195	1195	351	2214	351	3418	3418	1	1	13	13	142	345	142	345	2633	2633	57	57	73	73	130	15	130	15	1396	1396	954	29	954	29	8669	2536	8669	98	2536	98	3300	1886	1886	903	903	3300	12427	12427	2108	2108	6669	6669	93278	93278	25512	122877	25512	122877	22339	1397	1397	22339	30896	30896	22478	43793	22478	43793	40106	40106	138882	138882
1.1.1.133	1464	1464	17459	17459	19509	19509	32721	32721	64266	64266	23995	23995	55190	55190	16579	16579	15911	15911	42714	9895	4396	9895	4396	42714	2768	30926	13266	2768	13266	30926	20223	20223	3045	10323	10202	10202	3045	10323	21886	26478	10006	10437	21886	10006	10437	3928	26478	3928	35002	5727	6020	5727	6020	35002	41230	5683	5724	5286	5683	5286	5724	41230	31715	18848	18848	1430	1430	38367	4070	4070	15128	38367	5957	15128	27789	34840	27789	15173	57799	34840	15173	57799	5957	15255	15255	6060	6060	5087	1771	5087	1771	6030	6030	8998	55675	51902	8998	17459	17459	55675	6038	37133	29893	29893	6038	51902	34900	37133	11202	11202	57282	5475	5475	46093	34900	57282	11064	46093	31715	11064	2603	2603	32599	23843	23843	13967	32599	13967	18188	18188	1696	1696	12065	12065	13843	6265	13843	6265	15604	15604	10737	10737	4484	4484	2501	16486	2501	16486	26330	26330	28897	23679	28897	23679	33893	29185	33893	13147	29185	13147	67489	32386	32386	29723	29723	67489	76533	76533	32011	32011	450004	450004	657033	657033	467470	566277	467470	566277	483457	311855	311855	483457	479091	479091	445102	477454	445102	477454	709034	709034	784596	784596
