	MMPC19392645OR	MMPC19392645OR	MMPC13726847ST	MMPC13726847ST	MMPC12800445ST	MMPC12800445ST	MMPC16706723ST	MMPC16706723ST	MMPC16651671ST	MMPC16651671ST	MMPC21449543ST	MMPC21449543ST	MMPC17251241ST	MMPC17251241ST	MMPC24035292ST	MMPC24035292ST	MMPC16382508ST	MMPC16382508ST	MMPC20689138ST	MMPC19824023OR	MMPC52849207OR	MMPC19824023OR	MMPC52849207OR	MMPC20689138ST	MMPC52574889OR	MMPC30948868ST	MMPC53642802ST	MMPC52574889OR	MMPC53642802ST	MMPC30948868ST	MMPC34174031ST	MMPC34174031ST	MMPC54012223OR	MMPC28881424OR	MMPC54944306ST	MMPC54944306ST	MMPC54012223OR	MMPC28881424OR	MMPC40914520ST	MMPC22312907ST	MMPC54160426OR	MMPC32262645OR	MMPC40914520ST	MMPC54160426OR	MMPC32262645OR	MMPC54455576OR	MMPC22312907ST	MMPC54455576OR	MMPC23660755ST	MMPC55889507OR	MMPC51170653OR	MMPC55889507OR	MMPC51170653OR	MMPC23660755ST	MMPC22175846ST	MMPC55860177OR	MMPC56085636OR	MMPC56843559OR	MMPC55860177OR	MMPC56843559OR	MMPC56085636OR	MMPC22175846ST	MMPC11597832ST	MMPC60840390ST	MMPC60840390ST	MMPC61873807OR	MMPC61873807OR	MMPC52379257ST	MMPC60116897OR	MMPC60116897OR	MMPC57142773OR	MMPC52379257ST	MMPC27383418OR	MMPC57142773OR	MMPC59659730ST	MMPC55225619ST	MMPC59659730ST	MMPC63364113ST	MMPC48152369ST	MMPC55225619ST	MMPC63364113ST	MMPC48152369ST	MMPC27383418OR	MMPC41357154OR	MMPC41357154OR	MMPC64423720OR	MMPC64423720OR	MMPC63628582OR	MMPC66171614OR	MMPC63628582OR	MMPC66171614OR	MMPC65407889OR	MMPC65407889OR	MMPC60219907OR	MMPC59362655ST	MMPC19619725ST	MMPC60219907OR	MMPC65662501ST	MMPC65662501ST	MMPC59362655ST	MMPC57477276OR	MMPC57469621ST	MMPC64434180ST	MMPC64434180ST	MMPC57477276OR	MMPC19619725ST	MMPC55161862ST	MMPC57469621ST	MMPC65022621OR	MMPC65022621OR	MMPC59151585ST	MMPC58110896OR	MMPC58110896OR	MMPC63481302ST	MMPC55161862ST	MMPC59151585ST	MMPC62647302OR	MMPC63481302ST	MMPC11597832ST	MMPC62647302OR	MMPC71889536OR	MMPC71889536OR	MMPC54830782ST	MMPC68695449ST	MMPC68695449ST	MMPC82779175ST	MMPC54830782ST	MMPC82779175ST	MMPC83679680ST	MMPC83679680ST	MMPC95862719OR	MMPC95862719OR	MMPC73162206OR	MMPC73162206OR	MMPC68638114OR	MMPC65660081OR	MMPC68638114OR	MMPC65660081OR	MMPC99615156ST	MMPC99615156ST	MMPC64507639OR	MMPC64507639OR	MMPC87948870OR	MMPC87948870OR	MMPC86976445OR	MMPC84070936OR	MMPC86976445OR	MMPC84070936OR	MMPC88343716ST	MMPC88343716ST	MMPC83312436ST	MMPC85565182OR	MMPC83312436ST	MMPC85565182OR	MMPC67317135ST	MMPC93983194ST	MMPC67317135ST	MMPC72235353OR	MMPC93983194ST	MMPC72235353OR	MMPC12345974ST	MMPC11113549ST	MMPC11113549ST	MMPC84979047ST	MMPC84979047ST	MMPC12345974ST	MMPC96182596ST	MMPC96182596ST	MMPC82784238ST	MMPC82784238ST	MMPC68480658ST	MMPC68480658ST	MMPC63233635ST	MMPC63233635ST	MMPC14211565ST	MMPC49013463ST	MMPC14211565ST	MMPC49013463ST	MMPC73667956ST	MMPC61634104ST	MMPC61634104ST	MMPC73667956ST	MMPC53747560ST	MMPC53747560ST	MMPC23673679ST	MMPC96048560ST	MMPC23673679ST	MMPC96048560ST	MMPC43926327ST	MMPC43926327ST	MMPC10431544ST	MMPC10431544ST
-1	26192979	26192979	47119655	47119655	55423290	55423290	80306968	80306968	102678529	102678529	58890051	58890051	118575505	118575505	47714554	47714554	47537076	47537076	102054472	24411352	29705059	24411352	29705059	102054472	11046498	73574788	43466821	11046498	43466821	73574788	38988313	38988313	22465571	36874279	28138803	28138803	22465571	36874279	59522580	78906373	27408720	34496694	59522580	27408720	34496694	17234820	78906373	17234820	88630330	18442257	14631745	18442257	14631745	88630330	117389858	37810002	13721460	15849802	37810002	15849802	13721460	117389858	122800885	41374079	41374079	8767083	8767083	104255257	24703603	24703603	37335734	104255257	316368642	37335734	75956413	92250244	75956413	38435066	139894669	92250244	38435066	139894669	316368642	58450226	58450226	12573647	12573647	23477049	13721128	23477049	13721128	18674855	18674855	21979634	109798508	142713586	21979634	56104674	56104674	109798508	373802764	99854799	82666301	82666301	373802764	142713586	94179241	99854799	33355320	33355320	115570627	14383444	14383444	96019560	94179241	115570627	36305592	96019560	122800885	36305592	11114801	11114801	87280065	53721099	53721099	48581328	87280065	48581328	53041619	53041619	19691315	19691315	26782744	26782744	38449004	31764223	38449004	31764223	45813558	45813558	27567045	27567045	12142142	12142142	12857299	47403947	12857299	47403947	86469227	86469227	60811402	46363238	60811402	46363238	75716897	59516449	75716897	26828082	59516449	26828082	159035025	74887681	74887681	104126544	104126544	159035025	169335759	169335759	94334653	94334653	1380646760	1380646760	1565027370	1565027370	1176373961	1350175710	1176373961	1350175710	1302255518	620235710	620235710	1302255518	1118727725	1118727725	1260933281	1159078241	1260933281	1159078241	1667370597	1667370597	1571741207	1571741207
M00001	242430	242430	445448	445448	465489	465489	618310	618310	884080	884080	471416	471416	1003674	1003674	302227	302227	317900	317900	787934	228296	205942	228296	205942	787934	99511	661782	319936	99511	319936	661782	346292	346292	207384	321645	211505	211505	207384	321645	567374	651559	248287	369815	567374	248287	369815	172661	651559	172661	626808	145474	137855	145474	137855	626808	898307	348891	125384	166650	348891	166650	125384	898307	597386	372437	372437	78986	78986	767335	309028	309028	402341	767335	4760056	402341	671614	683748	671614	300964	1123766	683748	300964	1123766	4760056	554115	554115	129998	129998	222954	93569	222954	93569	167060	167060	229300	902964	1119630	229300	487191	487191	902964	3957050	781253	632717	632717	3957050	1119630	683464	781253	300449	300449	942354	143272	143272	777530	683464	942354	324061	777530	597386	324061	87718	87718	666340	441454	441454	356396	666340	356396	472028	472028	128623	128623	247643	247643	456417	265385	456417	265385	395566	395566	306622	306622	97137	97137	112668	346883	112668	346883	723586	723586	502274	536421	502274	536421	653855	488168	653855	262315	488168	262315	1259350	624231	624231	660720	660720	1259350	1111612	1111612	672593	672593	8482803	8482803	12299236	12299236	8560131	11318307	8560131	11318307	9491605	5903398	5903398	9491605	8985975	8985975	9441443	9058571	9441443	9058571	13356979	13356979	12588563	12588563
M00002	109436	109436	261972	261972	260291	260291	345799	345799	457116	457116	258859	258859	519800	519800	183342	183342	176842	176842	395084	135826	96009	135826	96009	395084	57498	343274	196315	57498	196315	343274	179734	179734	100759	177138	120347	120347	100759	177138	301080	343498	140179	142163	301080	140179	142163	89242	343498	89242	355253	82691	76419	82691	76419	355253	496939	161878	70966	91785	161878	91785	70966	496939	381238	205008	205008	28698	28698	424488	75696	75696	257888	424488	3313504	257888	397050	372676	397050	171232	605417	372676	171232	605417	3313504	327895	327895	70284	70284	111985	52101	111985	52101	96207	96207	147937	482177	629514	147937	227194	227194	482177	1667992	428335	357804	357804	1667992	629514	364218	428335	167170	167170	519082	82061	82061	427408	364218	519082	183356	427408	381238	183356	44482	44482	354998	262408	262408	198600	354998	198600	250773	250773	64029	64029	137146	137146	290100	147907	290100	147907	221328	221328	186475	186475	59254	59254	65427	196053	65427	196053	415150	415150	284287	299738	284287	299738	353906	267916	353906	148220	267916	148220	661272	338434	338434	396314	396314	661272	593040	593040	365905	365905	5011246	5011246	6636174	6636174	4792367	6192175	4792367	6192175	5151446	3139044	3139044	5151446	4895676	4895676	5361568	4843217	5361568	4843217	6925042	6925042	6616745	6616745
M00003	172264	172264	353383	353383	368733	368733	445660	445660	619506	619506	353862	353862	716974	716974	254652	254652	239631	239631	544116	167748	132453	167748	132453	544116	75782	513195	274451	75782	274451	513195	272137	272137	130913	224952	186827	186827	130913	224952	430362	486790	164763	187532	430362	164763	187532	112130	486790	112130	479944	106208	89633	106208	89633	479944	687551	213514	88644	114709	213514	114709	88644	687551	516059	295100	295100	64121	64121	565124	97765	97765	309781	565124	3244663	309781	545827	522169	545827	252987	817799	522169	252987	817799	3244663	411141	411141	85722	85722	143950	64747	143950	64747	114449	114449	180188	664545	863579	180188	331805	331805	664545	2117023	600788	484660	484660	2117023	863579	506010	600788	202769	202769	694335	97936	97936	569977	506010	694335	231986	569977	516059	231986	60030	60030	487698	354583	354583	275543	487698	275543	362193	362193	88979	88979	172096	172096	338893	182996	338893	182996	323851	323851	224902	224902	71875	71875	87090	251494	87090	251494	565024	565024	365630	355536	365630	355536	481903	359048	481903	180230	359048	180230	889054	476854	476854	540565	540565	889054	803104	803104	498054	498054	6628450	6628450	9110990	9110990	6713526	8485148	6713526	8485148	7158456	4401513	4401513	7158456	6688104	6688104	7164757	6603983	7164757	6603983	9576737	9576737	8941085	8941085
M00004	114977	114977	230864	230864	268410	268410	442088	442088	464332	464332	308383	308383	592697	592697	301101	301101	189978	189978	455038	126879	109925	126879	109925	455038	61835	341715	248039	61835	248039	341715	199283	199283	107754	280420	133226	133226	107754	280420	312358	340075	148751	137970	312358	148751	137970	94412	340075	94412	406826	83198	79697	83198	79697	406826	519723	163160	89906	106768	163160	106768	89906	519723	617593	199555	199555	28736	28736	438106	79364	79364	263260	438106	1229420	263260	444446	378577	444446	159658	741704	378577	159658	741704	1229420	760322	760322	77307	77307	125697	238387	125697	238387	101554	101554	113783	535026	651840	113783	218153	218153	535026	2022331	466642	305108	305108	2022331	651840	412868	466642	168725	168725	590085	88907	88907	487228	412868	590085	184975	487228	617593	184975	44533	44533	451910	285917	285917	190924	451910	190924	214659	214659	71508	71508	358481	358481	312113	257918	312113	257918	203454	203454	174008	174008	59259	59259	93278	198773	93278	198773	812208	812208	282750	319443	282750	319443	392900	318459	392900	151867	318459	151867	684225	347240	347240	401331	401331	684225	629128	629128	389378	389378	6002406	6002406	6961113	6961113	4702551	7028234	4702551	7028234	5672234	3002605	3002605	5672234	4921676	4921676	6977182	4812876	6977182	4812876	8222375	8222375	7407161	7407161
M00005	3807	3807	28961	28961	40992	40992	48053	48053	59623	59623	30777	30777	52558	52558	18665	18665	24110	24110	46505	14887	259897	14887	259897	46505	6882	46540	19554	6882	19554	46540	15212	15212	4830	15658	12877	12877	4830	15658	107835	37050	17754	15014	107835	17754	15014	9689	37050	9689	45742	7744	11062	7744	11062	45742	56383	9369	7371	15026	9369	15026	7371	56383	34735	21941	21941	2528	2528	194046	7726	7726	26287	194046	18584	26287	34753	44290	34753	19639	77500	44290	19639	77500	18584	27472	27472	9048	9048	9097	4199	9097	4199	10728	10728	11066	123221	65538	11066	22756	22756	123221	53268	50728	32841	32841	53268	65538	41876	50728	23299	23299	65477	10067	10067	54491	41876	65477	115678	54491	34735	115678	3538	3538	40880	41443	41443	23147	40880	23147	23350	23350	114503	114503	15266	15266	27600	14217	27600	14217	24006	24006	18996	18996	5923	5923	6683	20165	6683	20165	42498	42498	34734	39492	34734	39492	37978	31418	37978	19109	31418	19109	88199	36501	36501	37188	37188	88199	50202	50202	45447	45447	667426	667426	825783	825783	492264	805245	492264	805245	661537	564815	564815	661537	539356	539356	602410	619703	602410	619703	928724	928724	822220	822220
M00006	8696	8696	42443	42443	55355	55355	126615	126615	100505	100505	64143	64143	166365	166365	178705	178705	33469	33469	111009	37901	19520	37901	19520	111009	18694	74924	108014	18694	108014	74924	58252	58252	14241	142516	34635	34635	14241	142516	95300	91091	48022	38405	95300	48022	38405	21005	91091	21005	77187	25456	21764	25456	21764	77187	134664	16695	37370	30696	16695	30696	37370	134664	293085	60045	60045	8180	8180	70913	24226	24226	126381	70913	80763	126381	120787	85511	120787	27767	137000	85511	27767	137000	80763	105854	105854	22321	22321	18279	8997	18279	8997	31373	31373	35607	90789	220198	35607	63110	63110	90789	56738	126946	82478	82478	56738	220198	132282	126946	43006	43006	134442	31837	31837	126231	132282	134442	56791	126231	293085	56791	9903	9903	94909	89996	89996	67902	94909	67902	63292	63292	15157	15157	41815	41815	164108	142214	164108	142214	53199	53199	59457	59457	19409	19409	46141	58490	46141	58490	72715	72715	53865	101676	53865	101676	98346	78433	98346	43981	78433	43981	185451	77990	77990	124159	124159	185451	236611	236611	94613	94613	2572514	2572514	1857355	1857355	1480073	1828790	1480073	1828790	1316256	811011	811011	1316256	1185050	1185050	1282277	1212421	1282277	1212421	1415502	1415502	2193770	2193770
M00007	77597	77597	145878	145878	175962	175962	256817	256817	289622	289622	205742	205742	340115	340115	93275	93275	128837	128837	280883	62224	62511	62224	62511	280883	33371	201614	110656	33371	110656	201614	111523	111523	69570	94906	78474	78474	69570	94906	162110	190521	69274	70972	162110	69274	70972	50585	190521	50585	273976	37473	41614	37473	41614	273976	311149	103503	34778	53146	103503	53146	34778	311149	260044	111080	111080	13675	13675	294073	38434	38434	92703	294073	898448	92703	269461	230532	269461	105323	504661	230532	105323	504661	898448	589729	589729	37059	37059	82000	217503	82000	217503	50056	50056	54365	370208	348435	54365	116461	116461	370208	1257824	278931	172980	172980	1257824	348435	222500	278931	80922	80922	372216	41324	41324	295809	222500	372216	88651	295809	260044	88651	23368	23368	303468	155758	155758	89522	303468	89522	116225	116225	41235	41235	284915	284915	99694	81159	99694	81159	122298	122298	79279	79279	27426	27426	35588	94357	35588	94357	673928	673928	181166	140969	181166	140969	241373	196346	241373	73170	196346	73170	389715	217889	217889	194148	194148	389715	305938	305938	235923	235923	2588123	2588123	4054027	4054027	2448822	4299895	2448822	4299895	3561050	1624484	1624484	3561050	2987461	2987461	4862525	2863141	4862525	2863141	5748636	5748636	4153069	4153069
M00008	7759	7759	42202	42202	68056	68056	156479	156479	111669	111669	66385	66385	168838	168838	241207	241207	39063	39063	120881	29344	15185	29344	15185	120881	13107	79751	143090	13107	143090	79751	63213	63213	10630	133820	49618	49618	10630	133820	87275	88903	34028	32100	87275	34028	32100	15526	88903	15526	86343	22031	16340	22031	16340	86343	138121	12697	32929	21868	12697	21868	32929	138121	465946	65285	65285	6461	6461	83576	18657	18657	110443	83576	79753	110443	121767	92436	121767	32361	139097	92436	32361	139097	79753	86254	86254	16350	16350	12533	6892	12533	6892	24795	24795	28746	107014	218020	28746	65212	65212	107014	543087	131335	89705	89705	543087	218020	139830	131335	32703	32703	150653	23393	23393	129956	139830	150653	44106	129956	465946	44106	7932	7932	106508	110441	110441	72774	106508	72774	62381	62381	12306	12306	32961	32961	147121	132658	147121	132658	57035	57035	42793	42793	15285	15285	37512	47421	37512	47421	78181	78181	60373	70849	60373	70849	103908	90278	103908	34480	90278	34480	200388	85370	85370	170412	170412	200388	239873	239873	102977	102977	3561121	3561121	1941048	1941048	1485612	1792934	1485612	1792934	1431684	720834	720834	1431684	1263859	1263859	1470761	1303786	1470761	1303786	1580040	1580040	2365049	2365049
M00009	218540	218540	309527	309527	400655	400655	411993	411993	583846	583846	342815	342815	886442	886442	272454	272454	260161	260161	628857	172643	529007	172643	529007	628857	76178	458280	240550	76178	240550	458280	361747	361747	178157	359782	166712	166712	178157	359782	618877	469760	175148	430989	618877	175148	430989	117690	469760	117690	527286	126206	81268	126206	81268	527286	783404	266890	91553	87235	266890	87235	91553	783404	716238	279857	279857	38100	38100	778646	438881	438881	270423	778646	2438298	270423	509997	550879	509997	221808	816617	550879	221808	816617	2438298	534766	534766	70894	70894	166094	49102	166094	49102	130619	130619	175412	739616	997640	175412	551002	551002	739616	2747626	657227	492382	492382	2747626	997640	552463	657227	179535	179535	693735	132729	132729	583738	552463	693735	439857	583738	716238	439857	67303	67303	589890	345758	345758	296622	589890	296622	432334	432334	315763	315763	167982	167982	246007	313787	246007	313787	315095	315095	225225	225225	101008	101008	89682	274687	89682	274687	418602	418602	334689	386727	334689	386727	510156	458282	510156	180460	458282	180460	949147	456737	456737	653949	653949	949147	1136183	1136183	471873	471873	7094200	7094200	10130443	10130443	7422358	8550318	7422358	8550318	7460418	4754804	4754804	7460418	6967429	6967429	7052879	6724691	7052879	6724691	9891951	9891951	10368109	10368109
