	MMPC19392645OR	MMPC19392645OR	MMPC13726847ST	MMPC13726847ST	MMPC12800445ST	MMPC12800445ST	MMPC16706723ST	MMPC16706723ST	MMPC16651671ST	MMPC16651671ST	MMPC21449543ST	MMPC21449543ST	MMPC17251241ST	MMPC17251241ST	MMPC24035292ST	MMPC24035292ST	MMPC16382508ST	MMPC16382508ST	MMPC20689138ST	MMPC19824023OR	MMPC52849207OR	MMPC19824023OR	MMPC52849207OR	MMPC20689138ST	MMPC52574889OR	MMPC30948868ST	MMPC53642802ST	MMPC52574889OR	MMPC53642802ST	MMPC30948868ST	MMPC34174031ST	MMPC34174031ST	MMPC54012223OR	MMPC28881424OR	MMPC54944306ST	MMPC54944306ST	MMPC54012223OR	MMPC28881424OR	MMPC40914520ST	MMPC22312907ST	MMPC54160426OR	MMPC32262645OR	MMPC40914520ST	MMPC54160426OR	MMPC32262645OR	MMPC54455576OR	MMPC22312907ST	MMPC54455576OR	MMPC23660755ST	MMPC55889507OR	MMPC51170653OR	MMPC55889507OR	MMPC51170653OR	MMPC23660755ST	MMPC22175846ST	MMPC55860177OR	MMPC56085636OR	MMPC56843559OR	MMPC55860177OR	MMPC56843559OR	MMPC56085636OR	MMPC22175846ST	MMPC11597832ST	MMPC60840390ST	MMPC60840390ST	MMPC61873807OR	MMPC61873807OR	MMPC52379257ST	MMPC60116897OR	MMPC60116897OR	MMPC57142773OR	MMPC52379257ST	MMPC27383418OR	MMPC57142773OR	MMPC59659730ST	MMPC55225619ST	MMPC59659730ST	MMPC63364113ST	MMPC48152369ST	MMPC55225619ST	MMPC63364113ST	MMPC48152369ST	MMPC27383418OR	MMPC41357154OR	MMPC41357154OR	MMPC64423720OR	MMPC64423720OR	MMPC63628582OR	MMPC66171614OR	MMPC63628582OR	MMPC66171614OR	MMPC65407889OR	MMPC65407889OR	MMPC60219907OR	MMPC59362655ST	MMPC19619725ST	MMPC60219907OR	MMPC65662501ST	MMPC65662501ST	MMPC59362655ST	MMPC57477276OR	MMPC57469621ST	MMPC64434180ST	MMPC64434180ST	MMPC57477276OR	MMPC19619725ST	MMPC55161862ST	MMPC57469621ST	MMPC65022621OR	MMPC65022621OR	MMPC59151585ST	MMPC58110896OR	MMPC58110896OR	MMPC63481302ST	MMPC55161862ST	MMPC59151585ST	MMPC62647302OR	MMPC63481302ST	MMPC11597832ST	MMPC62647302OR	MMPC71889536OR	MMPC71889536OR	MMPC54830782ST	MMPC68695449ST	MMPC68695449ST	MMPC82779175ST	MMPC54830782ST	MMPC82779175ST	MMPC83679680ST	MMPC83679680ST	MMPC95862719OR	MMPC95862719OR	MMPC73162206OR	MMPC73162206OR	MMPC68638114OR	MMPC65660081OR	MMPC68638114OR	MMPC65660081OR	MMPC99615156ST	MMPC99615156ST	MMPC64507639OR	MMPC64507639OR	MMPC87948870OR	MMPC87948870OR	MMPC86976445OR	MMPC84070936OR	MMPC86976445OR	MMPC84070936OR	MMPC88343716ST	MMPC88343716ST	MMPC83312436ST	MMPC85565182OR	MMPC83312436ST	MMPC85565182OR	MMPC67317135ST	MMPC93983194ST	MMPC67317135ST	MMPC72235353OR	MMPC93983194ST	MMPC72235353OR	MMPC12345974ST	MMPC11113549ST	MMPC11113549ST	MMPC84979047ST	MMPC84979047ST	MMPC12345974ST	MMPC96182596ST	MMPC96182596ST	MMPC82784238ST	MMPC82784238ST	MMPC68480658ST	MMPC68480658ST	MMPC63233635ST	MMPC63233635ST	MMPC14211565ST	MMPC49013463ST	MMPC14211565ST	MMPC49013463ST	MMPC73667956ST	MMPC61634104ST	MMPC61634104ST	MMPC73667956ST	MMPC53747560ST	MMPC53747560ST	MMPC23673679ST	MMPC96048560ST	MMPC23673679ST	MMPC96048560ST	MMPC43926327ST	MMPC43926327ST	MMPC10431544ST	MMPC10431544ST
-1	22374250	22374250	40140528	40140528	47239529	47239529	69278754	69278754	88699404	88699404	50591191	50591191	101392583	101392583	40668838	40668838	41190701	41190701	88099133	20202791	26438087	20202791	26438087	88099133	9188857	63532840	37177185	9188857	37177185	63532840	31972772	31972772	19090912	30844527	24192566	24192566	19090912	30844527	49709590	68238257	22674324	29386380	49709590	22674324	29386380	14322283	68238257	14322283	76546724	15753631	12166596	15753631	12166596	76546724	100503899	32156855	11481236	12949645	32156855	12949645	11481236	100503899	105750091	35294413	35294413	7942511	7942511	90465570	21416697	21416697	30219893	90465570	271267750	30219893	64119623	79814329	64119623	33215582	121603348	79814329	33215582	121603348	271267750	47422159	47422159	10402820	10402820	19694853	11660057	19694853	11660057	15499576	15499576	18128079	95161161	121311441	18128079	47740109	47740109	95161161	317647128	85866217	71341010	71341010	317647128	121311441	81412325	85866217	27681047	27681047	99070409	11802795	11802795	83132314	81412325	99070409	30221303	83132314	105750091	30221303	9575845	9575845	74857737	45829572	45829572	42033801	74857737	42033801	45173340	45173340	17449254	17449254	22368903	22368903	31327545	26553735	31327545	26553735	39284555	39284555	22174949	22174949	10242115	10242115	10590016	39796286	10590016	39796286	74128766	74128766	52477896	37176993	52477896	37176993	64342198	49782818	64342198	22089652	49782818	22089652	137292732	64214930	64214930	89150936	89150936	137292732	146393209	146393209	82350881	82350881	1193470914	1193470914	1345306484	1345306484	1013730078	1155106536	1013730078	1155106536	1132973650	528587160	528587160	1132973650	962274575	962274575	1091546452	1000376760	1091546452	1000376760	1457995308	1457995308	1345211364	1345211364
ko00010	557856	557856	1064116	1064116	1037375	1037375	1326354	1326354	1904019	1904019	1043035	1043035	2205231	2205231	695028	695028	748761	748761	1710672	513983	555394	513983	555394	1710672	236176	1484150	723401	236176	723401	1484150	946445	946445	466472	744656	481465	481465	466472	744656	1320099	1394822	574567	870976	1320099	574567	870976	391486	1394822	391486	1447607	382718	321438	382718	321438	1447607	2131216	767825	283754	406872	767825	406872	283754	2131216	1320112	851619	851619	146441	146441	1774214	719972	719972	969200	1774214	8001007	969200	1525606	1510681	1525606	711163	2378909	1510681	711163	2378909	8001007	1248658	1248658	316556	316556	512284	202933	512284	202933	455602	455602	489031	1957293	2571568	489031	1237952	1237952	1957293	8734926	1711848	1393228	1393228	8734926	2571568	1482698	1711848	706340	706340	2028422	330970	330970	1719206	1482698	2028422	801599	1719206	1320112	801599	196456	196456	1560061	986484	986484	827286	1560061	827286	1097057	1097057	363167	363167	573171	573171	1053575	616543	1053575	616543	872674	872674	738860	738860	227852	227852	273239	816788	273239	816788	1527628	1527628	1114891	1393026	1114891	1393026	1437929	1241259	1437929	582394	1241259	582394	2721450	1364433	1364433	1498057	1498057	2721450	2528150	2528150	1454296	1454296	19191017	19191017	27068575	27068575	19964072	24446828	19964072	24446828	21945990	13452432	13452432	21945990	19615179	19615179	20028180	19287781	20028180	19287781	27909602	27909602	27812665	27812665
ko00020	384703	384703	544903	544903	658561	658561	684341	684341	982265	982265	574634	574634	1297924	1297924	440861	440861	424535	424535	939567	276350	634085	276350	634085	939567	127009	818517	434213	127009	434213	818517	566205	566205	300481	507554	298723	298723	300481	507554	885006	760952	281773	559650	885006	281773	559650	207303	760952	207303	807473	243828	141191	243828	141191	807473	1245887	466461	149277	177880	466461	177880	149277	1245887	988954	484497	484497	111688	111688	1152836	507567	507567	439231	1152836	4188421	439231	854921	874627	854921	405290	1305065	874627	405290	1305065	4188421	785045	785045	143745	143745	303055	89904	303055	89904	269253	269253	277522	1134680	1422792	277522	778461	778461	1134680	5485586	977397	796355	796355	5485586	1422792	830081	977397	334271	334271	1103895	201605	201605	903889	830081	1103895	606304	903889	988954	606304	115259	115259	856893	577646	577646	507198	856893	507198	677452	677452	389808	389808	279692	279692	421594	440234	421594	440234	530028	530028	384103	384103	147650	147650	148542	441789	148542	441789	751416	751416	551883	777614	551883	777614	806103	655220	806103	293985	655220	293985	1501027	755784	755784	979381	979381	1501027	1618242	1618242	785948	785948	10735818	10735818	15415811	15415811	11612263	13291920	11612263	13291920	11786466	7306671	7306671	11786466	10867872	10867872	10982159	10455401	10982159	10455401	15075207	15075207	15121701	15121701
ko00030	283123	283123	546105	546105	673019	673019	948450	948450	1172785	1172785	681710	681710	1344769	1344769	601629	601629	446491	446491	1105909	273640	512014	273640	512014	1105909	126123	885383	532545	126123	532545	885383	522545	522545	236824	504755	307358	307358	236824	504755	834646	838993	442447	338516	834646	442447	338516	205917	838993	205917	906830	182510	184072	182510	184072	906830	1286420	371742	176139	220446	371742	220446	176139	1286420	1270675	499050	499050	90032	90032	1200403	218448	218448	542039	1200403	2927735	542039	979181	920759	979181	402118	1565166	920759	402118	1565166	2927735	1098789	1098789	161955	161955	276298	300925	276298	300925	211864	211864	246571	1331465	1576467	246571	590407	590407	1331465	4673103	1112118	831791	831791	4673103	1576467	962834	1112118	537535	537535	1366643	174958	174958	1126389	962834	1366643	501531	1126389	1270675	501531	101582	101582	1006619	647966	647966	477828	1006619	477828	544870	544870	274839	274839	532212	532212	659055	438423	659055	438423	524580	524580	352159	352159	121796	121796	167974	807232	167974	807232	1313493	1313493	655857	653462	655857	653462	945814	731667	945814	323881	731667	323881	1722960	862978	862978	970789	970789	1722960	1551850	1551850	912788	912788	13737071	13737071	16782037	16782037	11783451	16100681	11783451	16100681	13622282	8727572	8727572	13622282	11583677	11583677	14758868	11778798	14758868	11778798	18722140	18722140	17777287	17777287
ko00040	245994	245994	308842	308842	451276	451276	491297	491297	750986	750986	466317	466317	914001	914001	382040	382040	275031	275031	822266	84767	280297	84767	280297	822266	41441	644034	338854	41441	338854	644034	433807	433807	192541	396701	208514	208514	192541	396701	522352	480091	87728	147525	522352	87728	147525	112136	480091	112136	566800	59575	71075	59575	71075	566800	800813	321663	109016	64639	321663	64639	109016	800813	978608	354405	354405	42380	42380	856606	126525	126525	111643	856606	2984621	111643	589260	632779	589260	304501	925207	632779	304501	925207	2984621	195602	195602	58597	58597	189180	59136	189180	59136	66254	66254	70663	824136	1168006	70663	429936	429936	824136	4486953	790874	590486	590486	4486953	1168006	623788	790874	102587	102587	869966	53425	53425	690180	623788	869966	174336	690180	978608	174336	52049	52049	729591	409317	409317	285118	729591	285118	392614	392614	180173	180173	119028	119028	134485	358009	134485	358009	393585	393585	92420	92420	30954	30954	90719	144957	90719	144957	657196	657196	310844	181650	310844	181650	694933	521683	694933	101212	521683	101212	1104681	590299	590299	735392	735392	1104681	1190568	1190568	638015	638015	8876848	8876848	11228743	11228743	8260528	9651396	8260528	9651396	9443129	4355832	4355832	9443129	6889954	6889954	9043939	7642246	9043939	7642246	12343036	12343036	13806536	13806536
ko00051	314811	314811	615107	615107	749993	749993	969696	969696	1457318	1457318	770690	770690	1533844	1533844	661741	661741	514353	514353	1341257	325016	429380	325016	429380	1341257	144254	1102411	539153	144254	539153	1102411	728558	728558	267272	451164	353339	353339	267272	451164	908284	950634	374694	444372	908284	374694	444372	246643	950634	246643	1144909	215032	228138	215032	228138	1144909	1504163	444813	200427	268280	444813	268280	200427	1504163	1488470	590190	590190	124385	124385	1301574	296958	296958	641187	1301574	4241056	641187	1034878	1113824	1034878	487899	1669503	1113824	487899	1669503	4241056	747090	747090	198290	198290	300497	140854	300497	140854	247113	247113	291452	1436410	1908255	291452	784249	784249	1436410	4859024	1276603	1179695	1179695	4859024	1908255	1089055	1276603	460274	460274	1693007	196477	196477	1241961	1089055	1693007	516804	1241961	1488470	516804	123845	123845	1195160	721965	721965	538088	1195160	538088	691609	691609	263033	263033	415243	415243	686756	370541	686756	370541	652472	652472	385875	385875	129423	129423	165913	564811	165913	564811	1093149	1093149	730845	782884	730845	782884	1130771	993312	1130771	385419	993312	385419	1934330	1021446	1021446	1349355	1349355	1934330	2121118	2121118	1063485	1063485	17088838	17088838	19470504	19470504	15007628	17906240	15007628	17906240	16098085	8273814	8273814	16098085	13302121	13302121	16021118	14133103	16021118	14133103	21475590	21475590	20675078	20675078
ko00052	368961	368961	823583	823583	1027716	1027716	1205358	1205358	1837018	1837018	1049211	1049211	2310208	2310208	709784	709784	638222	638222	2022079	383699	447838	383699	447838	2022079	155079	1363375	621020	155079	621020	1363375	877543	877543	330328	727196	400715	400715	330328	727196	1392024	1229288	533743	781284	1392024	533743	781284	294105	1229288	294105	1334730	263897	267501	263897	267501	1334730	2044075	484970	268000	350177	484970	350177	268000	2044075	1610566	870100	870100	157235	157235	1520843	679035	679035	782285	1520843	4337132	782285	1553490	1523379	1553490	599661	2320147	1523379	599661	2320147	4337132	1097591	1097591	250857	250857	390027	327054	390027	327054	295219	295219	333848	1721330	2528712	333848	1046887	1046887	1721330	4991367	1692357	1375155	1375155	4991367	2528712	1476514	1692357	667032	667032	1992770	212891	212891	1648661	1476514	1992770	569775	1648661	1610566	569775	145612	145612	1433792	911115	911115	806324	1433792	806324	1135246	1135246	254003	254003	505130	505130	871056	620179	871056	620179	877610	877610	456229	456229	147430	147430	205811	1043653	205811	1043653	1715425	1715425	925488	866325	925488	866325	1420157	1143401	1420157	457851	1143401	457851	2689169	1222444	1222444	1639745	1639745	2689169	3295320	3295320	1490324	1490324	18173193	18173193	26494916	26494916	19562273	23163676	19562273	23163676	19265781	9791307	9791307	19265781	17459617	17459617	17380535	19183205	17380535	19183205	26980287	26980287	32027865	32027865
ko00053	58990	58990	76325	76325	80940	80940	116490	116490	155390	155390	88976	88976	158584	158584	141798	141798	71494	71494	180258	34780	39549	34780	39549	180258	13350	144134	93292	13350	93292	144134	230221	230221	48985	42310	58325	58325	48985	42310	98080	108829	26042	33507	98080	26042	33507	35783	108829	35783	204936	21170	28572	21170	28572	204936	206449	80223	16911	31470	80223	31470	16911	206449	363399	65105	65105	7559	7559	169285	21429	21429	42991	169285	692829	42991	115690	126308	115690	50291	206565	126308	50291	206565	692829	61078	61078	21118	21118	54243	19545	54243	19545	29625	29625	25210	162349	272727	25210	158140	158140	162349	733014	160602	105715	105715	733014	272727	124316	160602	61081	61081	146389	22044	22044	144706	124316	146389	47692	144706	363399	47692	13935	13935	280532	86235	86235	58874	280532	58874	76178	76178	27538	27538	40013	40013	44108	37796	44108	37796	75384	75384	37954	37954	13079	13079	14122	46764	14122	46764	118699	118699	81418	55975	81418	55975	157706	249836	157706	39661	249836	39661	207448	114207	114207	206472	206472	207448	283758	283758	117085	117085	3102636	3102636	2383241	2383241	2179961	2273726	2179961	2273726	2323467	1003417	1003417	2323467	1426351	1426351	2528116	1597264	2528116	1597264	2359738	2359738	2587679	2587679
ko00061	64462	64462	228297	228297	255470	255470	326995	326995	499708	499708	273476	273476	645148	645148	187422	187422	182106	182106	483501	159199	183427	159199	183427	483501	62941	316211	161754	62941	161754	316211	222025	222025	69612	239689	108156	108156	69612	239689	406780	402165	178952	183313	406780	178952	183313	84879	402165	84879	355432	95226	92637	95226	92637	355432	518173	95442	85443	97274	95442	97274	85443	518173	441335	206085	206085	68151	68151	485656	122804	122804	270589	485656	513206	270589	411845	408429	411845	153452	643617	408429	153452	643617	513206	384951	384951	75710	75710	78906	46369	78906	46369	115453	115453	133627	499895	844349	133627	232785	232785	499895	510144	539420	383056	383056	510144	844349	411993	539420	194510	194510	549278	110413	110413	443451	411993	549278	272028	443451	441335	272028	45423	45423	391274	234709	234709	181036	391274	181036	258738	258738	127032	127032	160412	160412	264970	197360	264970	197360	222634	222634	192166	192166	74723	74723	98075	244549	98075	244549	331561	331561	288544	378321	288544	378321	401452	289194	401452	185535	289194	185535	763955	367669	367669	438307	438307	763955	827761	827761	395504	395504	5381520	5381520	7669316	7669316	5466906	7259198	5466906	7259198	5450776	3474328	3474328	5450776	5360171	5360171	4662718	5392894	4662718	5392894	6816777	6816777	8891621	8891621
ko00062	5	5	0	0	0	0	1	1	1	1	2	2	0	0	3	3	70	70	5	1	0	1	0	5	1	1	1	1	1	1	1	1	4	0	0	0	4	0	4	5	0	0	4	0	0	2	5	2	1	0	1	0	1	1	6	12	0	2	12	2	0	6	1	0	0	0	0	0	0	0	1	0	6	1	0	2	0	3	2	2	3	2	6	0	0	5	5	9	0	9	0	0	0	7	0	0	7	0	0	0	68	0	2	2	68	0	2	0	0	0	0	1	1	1	2	0	0	1	1	0	0	0	0	0	0	43	0	43	0	0	1	1	0	0	6	0	6	0	0	0	4	4	8	8	0	4	0	4	25	25	0	0	0	0	0	0	0	0	0	0	0	127	127	9	9	0	1	1	1	1	164	164	9	9	351	87	351	87	115	804	804	115	423	423	244	99	244	99	101	101	92	92
