	MMPC19392645OR	MMPC19392645OR	MMPC13726847ST	MMPC13726847ST	MMPC12800445ST	MMPC12800445ST	MMPC16706723ST	MMPC16706723ST	MMPC16651671ST	MMPC16651671ST	MMPC21449543ST	MMPC21449543ST	MMPC17251241ST	MMPC17251241ST	MMPC24035292ST	MMPC24035292ST	MMPC16382508ST	MMPC16382508ST	MMPC20689138ST	MMPC19824023OR	MMPC52849207OR	MMPC19824023OR	MMPC52849207OR	MMPC20689138ST	MMPC52574889OR	MMPC30948868ST	MMPC53642802ST	MMPC52574889OR	MMPC53642802ST	MMPC30948868ST	MMPC34174031ST	MMPC34174031ST	MMPC54012223OR	MMPC28881424OR	MMPC54944306ST	MMPC54944306ST	MMPC54012223OR	MMPC28881424OR	MMPC40914520ST	MMPC22312907ST	MMPC54160426OR	MMPC32262645OR	MMPC40914520ST	MMPC54160426OR	MMPC32262645OR	MMPC54455576OR	MMPC22312907ST	MMPC54455576OR	MMPC23660755ST	MMPC55889507OR	MMPC51170653OR	MMPC55889507OR	MMPC51170653OR	MMPC23660755ST	MMPC22175846ST	MMPC55860177OR	MMPC56085636OR	MMPC56843559OR	MMPC55860177OR	MMPC56843559OR	MMPC56085636OR	MMPC22175846ST	MMPC11597832ST	MMPC60840390ST	MMPC60840390ST	MMPC61873807OR	MMPC61873807OR	MMPC52379257ST	MMPC60116897OR	MMPC60116897OR	MMPC57142773OR	MMPC52379257ST	MMPC27383418OR	MMPC57142773OR	MMPC59659730ST	MMPC55225619ST	MMPC59659730ST	MMPC63364113ST	MMPC48152369ST	MMPC55225619ST	MMPC63364113ST	MMPC48152369ST	MMPC27383418OR	MMPC41357154OR	MMPC41357154OR	MMPC64423720OR	MMPC64423720OR	MMPC63628582OR	MMPC66171614OR	MMPC63628582OR	MMPC66171614OR	MMPC65407889OR	MMPC65407889OR	MMPC60219907OR	MMPC59362655ST	MMPC19619725ST	MMPC60219907OR	MMPC65662501ST	MMPC65662501ST	MMPC59362655ST	MMPC57477276OR	MMPC57469621ST	MMPC64434180ST	MMPC64434180ST	MMPC57477276OR	MMPC19619725ST	MMPC55161862ST	MMPC57469621ST	MMPC65022621OR	MMPC65022621OR	MMPC59151585ST	MMPC58110896OR	MMPC58110896OR	MMPC63481302ST	MMPC55161862ST	MMPC59151585ST	MMPC62647302OR	MMPC63481302ST	MMPC11597832ST	MMPC62647302OR	MMPC71889536OR	MMPC71889536OR	MMPC54830782ST	MMPC68695449ST	MMPC68695449ST	MMPC82779175ST	MMPC54830782ST	MMPC82779175ST	MMPC83679680ST	MMPC83679680ST	MMPC95862719OR	MMPC95862719OR	MMPC73162206OR	MMPC73162206OR	MMPC68638114OR	MMPC65660081OR	MMPC68638114OR	MMPC65660081OR	MMPC99615156ST	MMPC99615156ST	MMPC64507639OR	MMPC64507639OR	MMPC87948870OR	MMPC87948870OR	MMPC86976445OR	MMPC84070936OR	MMPC86976445OR	MMPC84070936OR	MMPC88343716ST	MMPC88343716ST	MMPC83312436ST	MMPC85565182OR	MMPC83312436ST	MMPC85565182OR	MMPC67317135ST	MMPC93983194ST	MMPC67317135ST	MMPC72235353OR	MMPC93983194ST	MMPC72235353OR	MMPC12345974ST	MMPC11113549ST	MMPC11113549ST	MMPC84979047ST	MMPC84979047ST	MMPC12345974ST	MMPC96182596ST	MMPC96182596ST	MMPC82784238ST	MMPC82784238ST	MMPC68480658ST	MMPC68480658ST	MMPC63233635ST	MMPC63233635ST	MMPC14211565ST	MMPC49013463ST	MMPC14211565ST	MMPC49013463ST	MMPC73667956ST	MMPC61634104ST	MMPC61634104ST	MMPC73667956ST	MMPC53747560ST	MMPC53747560ST	MMPC23673679ST	MMPC96048560ST	MMPC23673679ST	MMPC96048560ST	MMPC43926327ST	MMPC43926327ST	MMPC10431544ST	MMPC10431544ST
-1	26695557	26695557	47333592	47333592	55149266	55149266	80732393	80732393	104248010	104248010	59137257	59137257	118240199	118240199	46085787	46085787	47517908	47517908	101261687	24806476	31007258	24806476	31007258	101261687	11224495	74694109	42911113	11224495	42911113	74694109	38827701	38827701	22967296	37688657	27797675	27797675	22967296	37688657	58858587	78113271	28366266	35104942	58858587	28366266	35104942	17891530	78113271	17891530	88717122	18503000	15122563	18503000	15122563	88717122	116868845	38786479	14009134	16610405	38786479	16610405	14009134	116868845	117474258	41258002	41258002	9121778	9121778	105053537	25465182	25465182	37758926	105053537	324086022	37758926	75659046	92162206	75659046	38964248	140186910	92162206	38964248	140186910	324086022	58961794	58961794	13098558	13098558	24101686	13878619	24101686	13878619	19133870	19133870	22140180	110978477	141617816	22140180	56398970	56398970	110978477	385492927	99095511	83303548	83303548	385492927	141617816	93816383	99095511	34382024	34382024	116861951	15028025	15028025	96844877	93816383	116861951	37138891	96844877	117474258	37138891	11274909	11274909	87132937	53493643	53493643	48608589	87132937	48608589	52436808	52436808	20395684	20395684	27383652	27383652	39245831	32679600	39245831	32679600	45945890	45945890	28082488	28082488	12243665	12243665	13165822	48403471	13165822	48403471	87321994	87321994	61412829	47912196	61412829	47912196	75826120	59661932	75826120	27435071	59661932	27435071	159100796	74943986	74943986	102171371	102171371	159100796	165487764	165487764	94766227	94766227	1357208003	1357208003	1563334766	1563334766	1164059321	1350522576	1164059321	1350522576	1309527729	629952396	629952396	1309527729	1107181429	1107181429	1272655061	1159107579	1272655061	1159107579	1688810404	1688810404	1558878953	1558878953
R00005	185	185	1295	1295	1143	1143	1826	1826	4631	4631	1623	1623	1493	1493	994	994	2045	2045	2180	1219	315	1219	315	2180	1671	2733	758	1671	758	2733	4618	4618	93	1322	510	510	93	1322	2953	2405	821	2009	2953	821	2009	927	2405	927	7169	543	671	543	671	7169	4268	219	815	1108	219	1108	815	4268	1538	904	904	218	218	3230	1009	1009	2818	3230	992	2818	537	2511	537	702	3111	2511	702	3111	992	7665	7665	384	384	625	720	625	720	1346	1346	1138	4161	4790	1138	3870	3870	4161	4906	1514	1309	1309	4906	4790	2189	1514	4115	4115	2455	1307	1307	2150	2189	2455	2866	2150	1538	2866	345	345	4541	645	645	416	4541	416	729	729	326	326	1388	1388	2195	1493	2195	1493	1331	1331	3902	3902	609	609	449	1769	449	1769	2254	2254	2472	2889	2472	2889	3714	6661	3714	1748	6661	1748	3328	2389	2389	1918	1918	3328	3374	3374	2167	2167	53462	53462	34848	34848	26489	78693	26489	78693	58049	46606	46606	58049	22797	22797	74673	41362	74673	41362	62914	62914	20349	20349
R00006	92131	92131	58752	58752	64462	64462	95020	95020	109838	109838	65213	65213	116394	116394	37129	37129	44507	44507	101854	37011	74701	37011	74701	101854	27590	87152	38243	27590	38243	87152	55720	55720	77597	67757	24337	24337	77597	67757	83702	73938	47543	42591	83702	47543	42591	53824	73938	53824	106035	18233	28697	18233	28697	106035	110663	126698	24864	30057	126698	30057	24864	110663	78995	42189	42189	10109	10109	129049	30145	30145	54192	129049	990740	54192	74499	90951	74499	43619	152579	90951	43619	152579	990740	91972	91972	24437	24437	77112	22348	77112	22348	27676	27676	32012	136921	167340	32012	67932	67932	136921	1224995	86891	81216	81216	1224995	167340	85539	86891	56381	56381	144489	24643	24643	94317	85539	144489	70067	94317	78995	70067	20920	20920	97557	58126	58126	36621	97557	36621	57901	57901	48072	48072	49369	49369	49195	57241	49195	57241	52767	52767	46002	46002	12406	12406	26323	58004	26323	58004	107830	107830	65255	94296	65255	94296	88306	83900	88306	36746	83900	36746	144687	75882	75882	98431	98431	144687	112429	112429	89499	89499	1232003	1232003	1493059	1493059	1317655	1813860	1317655	1813860	1380633	812232	812232	1380633	1044758	1044758	1412532	1327035	1412532	1327035	1877767	1877767	1635476	1635476
R00008	0	0	38	38	74	74	173	173	98	98	59	59	89	89	5	5	66	66	170	0	0	0	0	170	0	50	4	0	4	50	30	30	1	0	25	25	1	0	59	387	0	0	59	0	0	0	387	0	14	0	0	0	0	14	1053	1	0	0	1	0	0	1053	47	46	46	0	0	100	0	0	0	100	8	0	50	148	50	14	91	148	14	91	8	0	0	0	0	0	0	0	0	1	1	0	215	352	0	27	27	215	0	271	117	117	0	352	32	271	0	0	55	0	0	71	32	55	1	71	47	1	0	0	201	38	38	28	201	28	61	61	0	0	0	0	0	0	0	0	53	53	0	0	3	3	3	0	3	0	27	27	30	0	30	0	68	388	68	0	388	0	311	17	17	18	18	311	181	181	102	102	3733	3733	1733	1733	1767	2159	1767	2159	1987	22828	22828	1987	8917	8917	1085	1923	1085	1923	1490	1490	2336	2336
R00009	578	578	6283	6283	12282	12282	6637	6637	10451	10451	9052	9052	21393	21393	3406	3406	4107	4107	36493	1078	695	1078	695	36493	1935	11196	1630	1935	1630	11196	15309	15309	2382	3160	4392	4392	2382	3160	15597	16639	4605	1626	15597	4605	1626	2038	16639	2038	8319	1211	4842	1211	4842	8319	17811	3491	821	1401	3491	1401	821	17811	3831	11758	11758	398	398	10315	1935	1935	2963	10315	2116	2963	7176	17132	7176	4052	21700	17132	4052	21700	2116	14024	14024	1449	1449	1914	393	1914	393	1806	1806	3305	13892	52563	3305	9569	9569	13892	15303	23641	21803	21803	15303	52563	20124	23641	245	245	12486	3968	3968	14712	20124	12486	5229	14712	3831	5229	1153	1153	16545	8050	8050	7111	16545	7111	14885	14885	1177	1177	2355	2355	1641	13442	1641	13442	11109	11109	4494	4494	2982	2982	1830	2048	1830	2048	8289	8289	7143	8775	7143	8775	13705	14550	13705	1237	14550	1237	26238	11162	11162	16531	16531	26238	60523	60523	13295	13295	56365	56365	313735	313735	248710	308703	248710	308703	190563	24009	24009	190563	286000	286000	109307	270739	109307	270739	184044	184044	466412	466412
R00010	112	112	4355	4355	1930	1930	2348	2348	6364	6364	1639	1639	3275	3275	2536	2536	5642	5642	6472	175	45	175	45	6472	53	1530	1563	53	1563	1530	23921	23921	395	3023	819	819	395	3023	382	4099	891	346	382	891	346	535	4099	535	18850	596	118	596	118	18850	9426	177	155	146	177	146	155	9426	1424	1004	1004	104	104	5692	289	289	86	5692	709	86	3087	2397	3087	1078	3170	2397	1078	3170	709	4980	4980	64	64	171	87	171	87	421	421	678	4565	13507	678	15260	15260	4565	546	2509	1986	1986	546	13507	6501	2509	86	86	2739	1018	1018	2979	6501	2739	982	2979	1424	982	54	54	18588	732	732	844	18588	844	4713	4713	249	249	200	200	107	2727	107	2727	3249	3249	892	892	750	750	99	259	99	259	2635	2635	3821	636	3821	636	5182	20417	5182	218	20417	218	3850	2445	2445	1828	1828	3850	21773	21773	4422	4422	54672	54672	117076	117076	87734	30698	87734	30698	182785	56496	56496	182785	71318	71318	200176	82652	200176	82652	46252	46252	27946	27946
R00013	9	9	971	971	34	34	55	55	42	42	54	54	43	43	566	566	923	923	6	15	14	15	14	6	0	29	297	0	297	29	8221	8221	4	1	144	144	4	1	25	246	44	0	25	44	0	16	246	16	6349	2	2	2	2	6349	47	4	7	11	4	11	7	47	88	31	31	0	0	1239	1	1	128	1239	64	128	99	306	99	125	19	306	125	19	64	15	15	0	0	11	2	11	2	6	6	3	310	263	3	5843	5843	310	87	167	184	184	87	263	30	167	36	36	37	1	1	167	30	37	33	167	88	33	21	21	5957	16	16	37	5957	37	118	118	2	2	248	248	24	4	24	4	41	41	28	28	14	14	0	5	0	5	82	82	76	0	76	0	1129	9361	1129	21	9361	21	167	28	28	116	116	167	1583	1583	182	182	5393	5393	11880	11880	17475	1568	17475	1568	499	11443	11443	499	4470	4470	89495	696	89495	696	282	282	132	132
R00014	95523	95523	72857	72857	65154	65154	107645	107645	120001	120001	67320	67320	119794	119794	40899	40899	47778	47778	103975	54379	83760	54379	83760	103975	36505	92453	39635	36505	39635	92453	70500	70500	90199	100138	24958	24958	90199	100138	84364	81473	78259	54492	84364	78259	54492	65242	81473	65242	115716	27667	38300	27667	38300	115716	125716	142248	37177	44242	142248	44242	37177	125716	81385	43212	43212	13038	13038	134502	41677	41677	87354	134502	1003842	87354	80178	93761	80178	44583	159938	93761	44583	159938	1003842	144139	144139	38664	38664	93690	26886	93690	26886	43602	43602	48422	141518	192611	48422	77496	77496	141518	1239722	88290	83037	83037	1239722	192611	91577	88290	74853	74853	147258	39750	39750	97652	91577	147258	99283	97652	81385	99283	25856	25856	108274	63215	63215	39399	108274	39399	62660	62660	55052	55052	69874	69874	85012	84126	85012	84126	53168	53168	79883	79883	21208	21208	39850	84180	39850	84180	111903	111903	78269	166332	78269	166332	91156	101569	91156	58159	101569	58159	153334	77542	77542	101070	101070	153334	131150	131150	93237	93237	1402410	1402410	1578880	1578880	1372408	1972366	1372408	1972366	1535429	909196	909196	1535429	1104329	1104329	1515827	1406461	1515827	1406461	1890558	1890558	1663101	1663101
R00018	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	131	0	0	0	0	0	7	0	0	0	7	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	2	0	0	0	0	3	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	1	0	0	0	1	1	6	6	38	38	0	6	0	6	0	0	0	0	121	121	0	71	0	71	0	0	0	0
R00019	53872	53872	24443	24443	30272	30272	30817	30817	52900	52900	32225	32225	49657	49657	10936	10936	24214	24214	48217	8986	29514	8986	29514	48217	5824	34604	17440	5824	17440	34604	12545	12545	43122	15569	10871	10871	43122	15569	41423	39584	4719	10664	41423	4719	10664	18831	39584	18831	38660	5917	10571	5917	10571	38660	55483	68848	4886	4416	68848	4416	4886	55483	16109	22440	22440	3769	3769	56153	8638	8638	3790	56153	674122	3790	35886	40281	35886	21869	66852	40281	21869	66852	674122	18920	18920	5180	5180	42042	7263	42042	7263	5661	5661	8639	59290	60604	8639	21874	21874	59290	731992	57264	41362	41362	731992	60604	37175	57264	11142	11142	57357	4680	4680	43214	37175	57357	15821	43214	16109	15821	8886	8886	37761	28534	28534	21168	37761	21168	26037	26037	18980	18980	10854	10854	7051	12873	7051	12873	23829	23829	6796	6796	1731	1731	2942	13753	2942	13753	47381	47381	24147	12185	24147	12185	38649	18937	38649	7191	18937	7191	82905	37694	37694	28387	28387	82905	48776	48776	42942	42942	273737	273737	676086	676086	632310	556902	632310	556902	486296	322142	322142	486296	480782	480782	499939	471750	499939	471750	742410	742410	731486	731486
