	MMPC19392645OR	MMPC19392645OR	MMPC13726847ST	MMPC13726847ST	MMPC12800445ST	MMPC12800445ST	MMPC16706723ST	MMPC16706723ST	MMPC16651671ST	MMPC16651671ST	MMPC21449543ST	MMPC21449543ST	MMPC17251241ST	MMPC17251241ST	MMPC24035292ST	MMPC24035292ST	MMPC16382508ST	MMPC16382508ST	MMPC20689138ST	MMPC19824023OR	MMPC52849207OR	MMPC19824023OR	MMPC52849207OR	MMPC20689138ST	MMPC52574889OR	MMPC30948868ST	MMPC53642802ST	MMPC52574889OR	MMPC53642802ST	MMPC30948868ST	MMPC34174031ST	MMPC34174031ST	MMPC54012223OR	MMPC28881424OR	MMPC54944306ST	MMPC54944306ST	MMPC54012223OR	MMPC28881424OR	MMPC40914520ST	MMPC22312907ST	MMPC54160426OR	MMPC32262645OR	MMPC40914520ST	MMPC54160426OR	MMPC32262645OR	MMPC54455576OR	MMPC22312907ST	MMPC54455576OR	MMPC23660755ST	MMPC55889507OR	MMPC51170653OR	MMPC55889507OR	MMPC51170653OR	MMPC23660755ST	MMPC22175846ST	MMPC55860177OR	MMPC56085636OR	MMPC56843559OR	MMPC55860177OR	MMPC56843559OR	MMPC56085636OR	MMPC22175846ST	MMPC11597832ST	MMPC60840390ST	MMPC60840390ST	MMPC61873807OR	MMPC61873807OR	MMPC52379257ST	MMPC60116897OR	MMPC60116897OR	MMPC57142773OR	MMPC52379257ST	MMPC27383418OR	MMPC57142773OR	MMPC59659730ST	MMPC55225619ST	MMPC59659730ST	MMPC63364113ST	MMPC48152369ST	MMPC55225619ST	MMPC63364113ST	MMPC48152369ST	MMPC27383418OR	MMPC41357154OR	MMPC41357154OR	MMPC64423720OR	MMPC64423720OR	MMPC63628582OR	MMPC66171614OR	MMPC63628582OR	MMPC66171614OR	MMPC65407889OR	MMPC65407889OR	MMPC60219907OR	MMPC59362655ST	MMPC19619725ST	MMPC60219907OR	MMPC65662501ST	MMPC65662501ST	MMPC59362655ST	MMPC57477276OR	MMPC57469621ST	MMPC64434180ST	MMPC64434180ST	MMPC57477276OR	MMPC19619725ST	MMPC55161862ST	MMPC57469621ST	MMPC65022621OR	MMPC65022621OR	MMPC59151585ST	MMPC58110896OR	MMPC58110896OR	MMPC63481302ST	MMPC55161862ST	MMPC59151585ST	MMPC62647302OR	MMPC63481302ST	MMPC11597832ST	MMPC62647302OR	MMPC71889536OR	MMPC71889536OR	MMPC54830782ST	MMPC68695449ST	MMPC68695449ST	MMPC82779175ST	MMPC54830782ST	MMPC82779175ST	MMPC83679680ST	MMPC83679680ST	MMPC95862719OR	MMPC95862719OR	MMPC73162206OR	MMPC73162206OR	MMPC68638114OR	MMPC65660081OR	MMPC68638114OR	MMPC65660081OR	MMPC99615156ST	MMPC99615156ST	MMPC64507639OR	MMPC64507639OR	MMPC87948870OR	MMPC87948870OR	MMPC86976445OR	MMPC84070936OR	MMPC86976445OR	MMPC84070936OR	MMPC88343716ST	MMPC88343716ST	MMPC83312436ST	MMPC85565182OR	MMPC83312436ST	MMPC85565182OR	MMPC67317135ST	MMPC93983194ST	MMPC67317135ST	MMPC72235353OR	MMPC93983194ST	MMPC72235353OR	MMPC12345974ST	MMPC11113549ST	MMPC11113549ST	MMPC84979047ST	MMPC84979047ST	MMPC12345974ST	MMPC96182596ST	MMPC96182596ST	MMPC82784238ST	MMPC82784238ST	MMPC68480658ST	MMPC68480658ST	MMPC63233635ST	MMPC63233635ST	MMPC14211565ST	MMPC49013463ST	MMPC14211565ST	MMPC49013463ST	MMPC73667956ST	MMPC61634104ST	MMPC61634104ST	MMPC73667956ST	MMPC53747560ST	MMPC53747560ST	MMPC23673679ST	MMPC96048560ST	MMPC23673679ST	MMPC96048560ST	MMPC43926327ST	MMPC43926327ST	MMPC10431544ST	MMPC10431544ST
-1	26844032	26844032	47718601	47718601	55599709	55599709	81293753	81293753	105070678	105070678	59619803	59619803	119101876	119101876	46471097	46471097	47856592	47856592	102085079	24990393	31114456	24990393	31114456	102085079	11307813	75244948	43293167	11307813	43293167	75244948	39122989	39122989	23096896	37922136	28023614	28023614	23096896	37922136	59362753	78756393	28556351	35287245	59362753	28556351	35287245	18018258	78756393	18018258	89404711	18671122	15222016	18671122	15222016	89404711	117741373	38980766	14103995	16731979	38980766	16731979	14103995	117741373	118336756	41625266	41625266	9156937	9156937	105749450	25571884	25571884	38064010	105749450	325714587	38064010	76192988	92819161	76192988	39252312	141309673	92819161	39252312	141309673	325714587	59328281	59328281	13196710	13196710	24259736	13922460	24259736	13922460	19320404	19320404	22297029	111742093	142692366	22297029	56808231	56808231	111742093	388058496	99793642	83828392	83828392	388058496	142692366	94511817	99793642	34583283	34583283	117778626	15133321	15133321	97568113	94511817	117778626	37388930	97568113	118336756	37388930	11332230	11332230	87779727	53919567	53919567	48996615	87779727	48996615	52910002	52910002	20464679	20464679	27561665	27561665	39554125	32855840	39554125	32855840	46292344	46292344	28297537	28297537	12320746	12320746	13243802	48700720	13243802	48700720	87882261	87882261	61819532	48487913	61819532	48487913	76403326	60104568	76403326	27643606	60104568	27643606	160205509	75520950	75520950	103027089	103027089	160205509	166740302	166740302	95443630	95443630	1366351908	1366351908	1574263506	1574263506	1172536358	1359430920	1172536358	1359430920	1318779047	635504429	635504429	1318779047	1114785981	1114785981	1281370912	1167830064	1281370912	1167830064	1700398085	1700398085	1570939446	1570939446
RC00001	10935	10935	39372	39372	66212	66212	39739	39739	74419	74419	36419	36419	80711	80711	24266	24266	30102	30102	58423	23273	416679	23273	416679	58423	16088	42965	21765	16088	21765	42965	56318	56318	15653	53941	12657	12657	15653	53941	183651	59989	43853	17095	183651	43853	17095	17247	59989	17247	75649	13229	13039	13229	13039	75649	86218	16408	12064	19194	16408	19194	12064	86218	56978	26182	26182	4171	4171	217070	15540	15540	38092	217070	99232	38092	53200	50485	53200	20492	92405	50485	20492	92405	99232	100445	100445	16486	16486	15484	4558	15484	4558	21737	21737	22525	163674	143634	22525	50407	50407	163674	65031	66931	48919	48919	65031	143634	58311	66931	25920	25920	86036	29491	29491	71360	58311	86036	196619	71360	56978	196619	6096	6096	73233	57198	57198	33302	73233	33302	34567	34567	232604	232604	23647	23647	33324	60679	33324	60679	27677	27677	50872	50872	17181	17181	30631	38396	30631	38396	37795	37795	33877	70250	33877	70250	56570	65704	56570	24307	65704	24307	105252	52661	52661	45769	45769	105252	120030	120030	43205	43205	628510	628510	1116599	1116599	837610	956997	837610	956997	913725	1217547	1217547	913725	559280	559280	793536	644745	793536	644745	901618	901618	1232477	1232477
RC00002	1251319	1251319	1886627	1886627	2248742	2248742	3515791	3515791	4332213	4332213	2442390	2442390	5085547	5085547	2416200	2416200	1792161	1792161	3934924	1197183	1268235	1197183	1268235	3934924	527622	3097208	2017830	527622	2017830	3097208	1732922	1732922	1093342	1778777	1263712	1263712	1093342	1778777	2743758	3059093	1398924	1476991	2743758	1398924	1476991	881367	3059093	881367	3269666	736893	705371	736893	705371	3269666	4541967	1735334	653638	816739	1735334	816739	653638	4541967	6441463	1680739	1680739	264301	264301	4285045	1018818	1018818	1815418	4285045	16418344	1815418	3161138	3533598	3161138	1541272	6081455	3533598	1541272	6081455	16418344	3198696	3198696	582025	582025	1179795	723540	1179795	723540	835913	835913	1058595	4680009	5841338	1058595	2193465	2193465	4680009	18618589	3991333	3157925	3157925	18618589	5841338	3510117	3991333	1728174	1728174	5086103	731866	731866	4128196	3510117	5086103	1802690	4128196	6441463	1802690	428085	428085	3754646	2399171	2399171	1677572	3754646	1677572	2019790	2019790	795032	795032	1468542	1468542	1860791	1526436	1860791	1526436	1844822	1844822	1366234	1366234	498366	498366	628107	2408345	628107	2408345	3772630	3772630	2444853	2510376	2444853	2510376	3272526	2543757	3272526	1352806	2543757	1352806	6405866	3123957	3123957	4784155	4784155	6405866	6015165	6015165	3536862	3536862	62441226	62441226	63067747	63067747	45071431	56036331	45071431	56036331	50947912	27445984	27445984	50947912	43013022	43013022	49488006	44542932	49488006	44542932	67478119	67478119	67144410	67144410
RC00003	101824	101824	378934	378934	431077	431077	767758	767758	988226	988226	532562	532562	1069971	1069971	502556	502556	417955	417955	789289	208308	181605	208308	181605	789289	87464	649286	381260	87464	381260	649286	305966	305966	96297	294244	221244	221244	96297	294244	467286	616128	205541	289391	467286	205541	289391	114125	616128	114125	725846	130711	119108	130711	119108	725846	1050787	137817	102000	123307	137817	123307	102000	1050787	1052112	346682	346682	72039	72039	915819	226945	226945	335247	915819	873583	335247	632121	729231	632121	279058	1183012	729231	279058	1183012	873583	493959	493959	85497	85497	114813	55513	114813	55513	141353	141353	183864	916655	1200401	183864	507645	507645	916655	1588067	857587	591621	591621	1588067	1200401	826000	857587	265716	265716	1018339	136054	136054	802934	826000	1018339	327762	802934	1052112	327762	63312	63312	802348	452678	452678	400786	802348	400786	378080	378080	134834	134834	189107	189107	298619	250667	298619	250667	362896	362896	272861	272861	103105	103105	127000	269706	127000	269706	549560	549560	532204	403272	532204	403272	667005	493901	667005	232608	493901	232608	1483172	631273	631273	813064	813064	1483172	1172870	1172870	833694	833694	11648768	11648768	12975892	12975892	9137722	11822429	9137722	11822429	11674546	5252845	5252845	11674546	9173273	9173273	10284394	9212162	10284394	9212162	15653236	15653236	13520108	13520108
RC00004	478576	478576	849021	849021	884125	884125	1150991	1150991	1633678	1633678	945311	945311	2082530	2082530	683385	683385	694428	694428	1488474	486983	455005	486983	455005	1488474	218577	1251932	615215	218577	615215	1251932	896582	896582	430042	735291	434827	434827	430042	735291	1170147	1251105	639487	1034068	1170147	639487	1034068	349666	1251105	349666	1266148	350628	304505	350628	304505	1266148	1894691	671018	264975	353528	671018	353528	264975	1894691	1545823	711801	711801	147299	147299	1572120	1011029	1011029	786601	1572120	6660647	786601	1290277	1316131	1290277	571384	2200943	1316131	571384	2200943	6660647	1185906	1185906	284656	284656	468131	165856	468131	165856	425428	425428	453138	1609745	2304468	453138	1304579	1304579	1609745	8135945	1535319	1245382	1245382	8135945	2304468	1312546	1535319	771489	771489	1758888	338026	338026	1478662	1312546	1758888	771533	1478662	1545823	771533	177343	177343	1465835	814429	814429	746795	1465835	746795	1005139	1005139	318822	318822	509452	509452	811812	627436	811812	627436	758318	758318	628930	628930	225503	225503	274307	1069742	274307	1069742	1179547	1179547	904234	1324068	904234	1324068	1275482	1098042	1275482	549186	1098042	549186	2463931	1169010	1169010	1379493	1379493	2463931	2558235	2558235	1296382	1296382	17908101	17908101	24790697	24790697	17805654	21762874	17805654	21762874	19676655	12087974	12087974	19676655	17329705	17329705	17068921	17269446	17068921	17269446	24467572	24467572	24604706	24604706
RC00005	112112	112112	276483	276483	295937	295937	467625	467625	528739	528739	294890	294890	689851	689851	381568	381568	234970	234970	490761	207896	97158	207896	97158	490761	74631	370010	267357	74631	267357	370010	246215	246215	107092	237484	163966	163966	107092	237484	406363	445874	205051	203369	406363	205051	203369	111430	445874	111430	410525	129745	116647	129745	116647	410525	670661	166586	102963	145781	166586	145781	102963	670661	938283	230441	230441	33263	33263	477826	101098	101098	354978	477826	1151323	354978	452075	448957	452075	174652	681099	448957	174652	681099	1151323	412628	412628	107561	107561	140553	45666	140553	45666	146659	146659	176373	502996	829188	176373	301319	301319	502996	1031667	533751	406983	406983	1031667	829188	516120	533751	227907	227907	548276	119794	119794	482627	516120	548276	266864	482627	938283	266864	59953	59953	450983	311455	311455	244182	450983	244182	284584	284584	60549	60549	190362	190362	340654	187159	340654	187159	224799	224799	249506	249506	88384	88384	86215	303450	86215	303450	354880	354880	343670	444846	343670	444846	397772	365790	397772	248693	365790	248693	853520	384131	384131	553243	553243	853520	951540	951540	454766	454766	9175355	9175355	8281666	8281666	6269878	7510695	6269878	7510695	6183308	3474974	3474974	6183308	6408319	6408319	5348534	6130252	5348534	6130252	7213977	7213977	8684241	8684241
RC00006	189496	189496	464468	464468	498323	498323	673021	673021	974165	974165	581879	581879	1198433	1198433	393571	393571	384531	384531	832719	152731	112836	152731	112836	832719	65039	713696	421631	65039	421631	713696	404148	404148	197429	220694	280370	280370	197429	220694	617814	692436	142479	180817	617814	142479	180817	122908	692436	122908	714048	154612	89594	154612	89594	714048	1054007	264699	76325	106504	264699	106504	76325	1054007	943253	402954	402954	74465	74465	875336	86754	86754	247369	875336	2875844	247369	722439	791374	722439	356816	1388748	791374	356816	1388748	2875844	436841	436841	74845	74845	225577	64807	225577	64807	171452	171452	155572	1014279	1185416	155572	476730	476730	1014279	2591197	885008	702555	702555	2591197	1185416	836359	885008	234440	234440	1136469	109498	109498	899905	836359	1136469	234474	899905	943253	234474	62088	62088	800610	506061	506061	429656	800610	429656	482388	482388	77835	77835	249454	249454	237134	199205	237134	199205	420324	420324	183412	183412	79888	79888	75308	222848	75308	222848	649183	649183	522203	456967	522203	456967	743927	545621	743927	174881	545621	174881	1472679	705214	705214	1006498	1006498	1472679	1403755	1403755	793305	793305	10344398	10344398	14129780	14129780	10118974	11577581	10118974	11577581	11564817	5033661	5033661	11564817	9750090	9750090	9983596	9678341	9983596	9678341	15334830	15334830	14929737	14929737
RC00007	1393	1393	27783	27783	27676	27676	42416	42416	66743	66743	54071	54071	139546	139546	11547	11547	19278	19278	57867	2784	272	2784	272	57867	1296	60201	21181	1296	21181	60201	18896	18896	1843	7795	13505	13505	1843	7795	28080	51686	2578	1417	28080	2578	1417	1487	51686	1487	34778	1498	711	1498	711	34778	96900	1203	1022	773	1203	773	1022	96900	35719	36144	36144	265	265	56444	1346	1346	351	56444	9415	351	62042	67906	62042	20300	112347	67906	20300	112347	9415	8810	8810	945	945	1224	151	1224	151	1251	1251	1611	76360	85715	1611	32063	32063	76360	6983	61189	45663	45663	6983	85715	93970	61189	119	119	84007	1783	1783	73709	93970	84007	3478	73709	35719	3478	796	796	64123	29813	29813	38188	64123	38188	29675	29675	134	134	1883	1883	688	5661	688	5661	33791	33791	2859	2859	1611	1611	2605	2158	2605	2158	39489	39489	32853	2283	32853	2283	61481	31390	61481	1937	31390	1937	157626	56652	56652	36705	36705	157626	153243	153243	57028	57028	413452	413452	1229961	1229961	870422	692525	870422	692525	1010053	118750	118750	1010053	576466	576466	759852	659610	759852	659610	1350180	1350180	1349431	1349431
RC00008	3095	3095	27262	27262	27640	27640	37955	37955	50779	50779	30926	30926	56421	56421	20747	20747	23199	23199	47814	9025	5902	9025	5902	47814	4982	46416	19841	4982	19841	46416	25729	25729	5851	21674	13138	13138	5851	21674	46369	49893	16913	10506	46369	16913	10506	7917	49893	7917	39268	5168	8237	5168	8237	39268	60819	7049	5729	10414	7049	10414	5729	60819	39435	21778	21778	2517	2517	40854	6029	6029	20153	40854	17153	20153	44592	45254	44592	12594	85600	45254	12594	85600	17153	34027	34027	7496	7496	7771	3625	7771	3625	9959	9959	7932	45636	91651	7932	30012	30012	45636	16582	62751	39189	39189	16582	91651	56437	62751	17348	17348	48585	11616	11616	52991	56437	48585	16260	52991	39435	16260	2380	2380	49641	32265	32265	20802	49641	20802	26746	26746	3454	3454	12258	12258	17059	21959	17059	21959	22836	22836	19221	19221	6706	6706	7253	13250	7253	13250	33607	33607	29166	28772	29166	28772	49680	48888	49680	12217	48888	12217	92769	34086	34086	56170	56170	92769	117144	117144	39500	39500	940733	940733	879569	879569	714071	906002	714071	906002	700805	391180	391180	700805	668878	668878	537199	599995	537199	599995	983409	983409	953926	953926
RC00009	1782	1782	7843	7843	12913	12913	10753	10753	13579	13579	8437	8437	33841	33841	11900	11900	10140	10140	19697	11556	1226	11556	1226	19697	6567	10024	7360	6567	7360	10024	11376	11376	2405	12680	7420	7420	2405	12680	25670	16984	9781	10370	25670	9781	10370	3247	16984	3247	18880	5599	3742	5599	3742	18880	25420	2246	3851	3066	2246	3066	3851	25420	41988	6537	6537	1194	1194	17869	4949	4949	16589	17869	9403	16589	16253	18505	16253	4834	18363	18505	4834	18363	9403	27286	27286	2083	2083	2254	1311	2254	1311	6650	6650	10477	16942	56227	10477	10865	10865	16942	8000	25524	14356	14356	8000	56227	22001	25524	8848	8848	17712	8183	8183	17384	22001	17712	14508	17384	41988	14508	2539	2539	17663	8799	8799	8781	17663	8781	11453	11453	3907	3907	6363	6363	13392	13701	13392	13701	6929	6929	17222	17222	5541	5541	10274	11318	10274	11318	8781	8781	8600	16316	8600	16316	13891	14903	13891	10834	14903	10834	29530	12594	12594	28960	28960	29530	54828	54828	11467	11467	353905	353905	361989	361989	274674	336037	274674	336037	220045	195651	195651	220045	340319	340319	158700	237840	158700	237840	214377	214377	353253	353253
