family	p	p.adjust
Bacteroidaceae	8.61E-05	0.002352139
Lactobacillaceae	9.80E-05	0.002352139
Akkermansiaceae	0.000968765	0.015500244
Porphyromonadaceae	0.00343937	0.041272442
Bacillaceae	0.006035723	0.048285784
Methylobacteriaceae	0.005440168	0.048285784
Streptococcaceae	0.00709107	0.048624477
Eggerthellaceae	0.008917761	0.053506566
Bifidobacteriaceae	0.016668705	0.072736167
Comamonadaceae	0.016404072	0.072736167
Eubacteriaceae	0.016563251	0.072736167
Atopobacteriaceae	0.01914677	0.076587078
Oscillospiraceae	0.024688195	0.091156412
Caulobacteraceae	0.035762196	0.122613243
Carnobacteriaceae	0.039192346	0.125415507
Prevotellaceae	0.045371482	0.136114446
Burkholderiaceae	0.068535981	0.193513358
Clostridiaceae	0.090817691	0.24218051
Bradyrhizobiaceae	0.11125475	0.281064632
Pasteurellaceae	0.130635637	0.313525529
Desulfovibrionaceae	0.141261163	0.322605428
FAM_Flavonifractor	0.147860821	0.322605428
Deinococcaceae	0.176085447	0.367482671
Aerococcaceae	0.231176733	0.402433442
Oxalobacteraceae	0.217089951	0.402433442
Rikenellaceae	0.234752841	0.402433442
Ruminococcaceae	0.220306356	0.402433442
Veillonellaceae	0.207068126	0.402433442
Enterococcaceae	0.299819859	0.49625356
Halomonadaceae	0.357949792	0.572719667
Acidaminococcaceae	0.408957717	0.624213088
Enterobacteriaceae	0.416142059	0.624213088
Actinomycetaceae	0.484705782	0.684290516
Microbacteriaceae	0.472968787	0.684290516
Idiomarinaceae	0.512122053	0.702338816
Propionibacteriaceae	0.53711678	0.716155706
Staphylococcaceae	0.605300827	0.785255127
Corynebacteriaceae	0.685949082	0.844245024
Pseudomonadaceae	0.680929158	0.844245024
Sphingomonadaceae	0.70912678	0.850952136
Micrococcaceae	0.737265545	0.86314015
Brucellaceae	0.785297827	0.897483231
Neisseriaceae	0.838766428	0.92022959
Sutterellaceae	0.843543791	0.92022959
Lysobacteraceae	0.889967617	0.928661861
Moraxellaceae	0.889967617	0.928661861
Phyllobacteriaceae	0.97289976	0.97289976
Rhodobacteraceae	0.953972995	0.97289976
