term	body_site	phylum	family	refOTUs	ref_mOTU_cluster	prev.oral	prev.gut	R2	p.adj
body_site	both	1239 Firmicutes	186803 Lachnospiraceae	467210 Lachnoanaerobaculum saburreum	ref_mOTU_v2_0361	40.4	0	22.78	0.000438461538461539
body_site	both	1239 Firmicutes	186803 Lachnospiraceae	43995 Johnsonella ignava	ref_mOTU_v2_4775	3.03	0	13.01	0.000438461538461539
body_site	both	1239 Firmicutes	186803 Lachnospiraceae	712976 Lachnospiraceae bacterium oral taxon 082	ref_mOTU_v2_5014	66.67	3.68	8.61	0.000438461538461539
body_site	both	1239 Firmicutes	186803 Lachnospiraceae	712991 Lachnospiraceae bacterium oral taxon 500	ref_mOTU_v2_4552	11.11	0	17.29	0.000438461538461539
body_site	both	1239 Firmicutes	31977 Veillonellaceae	39777 Veillonella atypica [C]	ref_mOTU_v2_0561	98.99	63.24	2.08	0.000438461538461539
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1308 Streptococcus thermophilus	ref_mOTU_v2_0219	74.75	86.76	19.58	0.000438461538461539
body_site	both	1239 Firmicutes	1300 Streptococcaceae	999425 Streptococcus sp. F0442	ref_mOTU_v2_5298	84.85	38.24	1.82	0.000438461538461539
body_site	both	201174 Actinobacteria	2049 Actinomycetaceae	1654 Actinomyces sp. [C ICM58/oral taxon 172]	ref_mOTU_v2_0377	96.97	38.97	6.05	0.000438461538461539
body_site	both	976 Bacteroidetes	171551 Porphyromonadaceae	28112 Tannerella forsythia	ref_mOTU_v2_3757	72.73	0	28.02	0.000438461538461539
body_site	both	976 Bacteroidetes	171552 Prevotellaceae	165179 Prevotella copri	ref_mOTU_v2_4448	2.02	48.53	9.89	0.000438461538461539
body_site	both	976 Bacteroidetes	171552 Prevotellaceae	282402 Prevotella multiformis	ref_mOTU_v2_5115	29.29	0	27.69	0.000438461538461539
body_site	both	976 Bacteroidetes	171552 Prevotellaceae	386414 Prevotella timonensis	ref_mOTU_v2_0522	0	5.88	29.07	0.000438461538461539
body_site	both	976 Bacteroidetes	171552 Prevotellaceae	589436 Prevotella fusca	ref_mOTU_v2_2727	32.32	0	13.29	0.000438461538461539
body_site	both	1224 Proteobacteria	712 Pasteurellaceae	729 Haemophilus parainfluenzae	ref_mOTU_v2_0358	91.92	58.09	2.86	0.0007125
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1301 Streptococcus sp. [C infantis/mitis]	ref_mOTU_v2_0683	97.98	54.41	2.03	0.0007125
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1316408 Streptococcus sp. HSISM1	ref_mOTU_v2_0145	95.96	69.12	1.3	0.0007125
body_site	both	1239 Firmicutes	31977 Veillonellaceae	29466 Veillonella parvula [C]	ref_mOTU_v2_1042	98.99	71.32	1.4	0.00100588235294118
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1318 Streptococcus parasanguinis	ref_mOTU_v2_0144	98.99	90.44	1.18	0.0019
body_site	both	1239 Firmicutes	1300 Streptococcaceae	113107 Streptococcus australis	ref_mOTU_v2_1524	86.87	39.71	1.7	0.0021
body_site	both	976 Bacteroidetes	815 Bacteroidaceae	338188 Bacteroides finegoldii	ref_mOTU_v2_1409	0	36.76	3.94	0.003135
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1301 Streptococcus sp. [C equinus/infantarius/lutetiensis]	ref_mOTU_v2_0261	20.2	14.71	4.34	0.00407142857142857
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1328 Streptococcus anginosus [C]	ref_mOTU_v2_0687	68.69	50.74	5.49	0.00414545454545455
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1313 Streptococcus pneumoniae	ref_mOTU_v2_0020	98.99	16.18	1.54	0.00892173913043478
body_site	both	1239 Firmicutes	31977 Veillonellaceae	218538 Dialister invisus	ref_mOTU_v2_4598	77.78	51.47	2.37	0.009025
body_site	both	201174 Actinobacteria	2049 Actinomycetaceae	706438 Actinomyces sp. oral taxon 171	ref_mOTU_v2_1445	80.81	2.94	1.92	0.011856
body_site	both	1239 Firmicutes	1300 Streptococcaceae	469609 Streptococcus sp. 2_1_36FAA	ref_mOTU_v2_1399	88.89	47.06	2.1	0.0122769230769231
body_site	both	201174 Actinobacteria	1268 Micrococcaceae	43675 Rothia mucilaginosa	ref_mOTU_v2_1438	100	52.21	1.78	0.0244888888888889
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1304 Streptococcus salivarius [C]	ref_mOTU_v2_0656	71.72	38.24	1.65	0.0396964285714286
body_site	both	1239 Firmicutes	1300 Streptococcaceae	1302 Streptococcus gordonii	ref_mOTU_v2_1398	77.78	35.29	1.89	0.0493344827586207
center	both	1224 Proteobacteria	712 Pasteurellaceae	712148 Aggregatibacter sp. oral taxon 458	ref_mOTU_v2_3038	65.66	2.94	3.26	0.004255
center	saliva	1224 Proteobacteria	712 Pasteurellaceae	712148 Aggregatibacter sp. oral taxon 458	ref_mOTU_v2_3038	65.66	2.94	3.75	0.004255
center	saliva	1224 Proteobacteria	712 Pasteurellaceae	732 Aggregatibacter aphrophilus	ref_mOTU_v2_1461	57.58	4.41	14.67	0.004255
center	both	1224 Proteobacteria	712 Pasteurellaceae	739 Aggregatibacter segnis	ref_mOTU_v2_5107	64.65	5.15	8.4	0.004255
center	both	1239 Firmicutes	186806 Eubacteriaceae	39488 [Eubacterium] hallii	ref_mOTU_v2_4207	0	85.29	5.68	0.004255
center	feces	1239 Firmicutes	186806 Eubacteriaceae	39488 [Eubacterium] hallii	ref_mOTU_v2_4207	0	85.29	6.07	0.004255
center	feces	1239 Firmicutes	909930 Acidaminococcaceae	187327 Acidaminococcus intestini [C]	ref_mOTU_v2_0391	1.01	23.53	9.39	0.004255
center	both	1239 Firmicutes	1300 Streptococcaceae	1095727 Streptococcus sp. SK643	ref_mOTU_v2_1747	82.83	2.21	2.33	0.004255
center	saliva	1239 Firmicutes	1300 Streptococcaceae	1095727 Streptococcus sp. SK643	ref_mOTU_v2_1747	82.83	2.21	2.37	0.004255
center	saliva	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0022	98.99	30.88	2.05	0.004255
center	both	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0024	96.97	15.44	1.83	0.004255
center	saliva	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0024	96.97	15.44	1.97	0.004255
center	saliva	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0025	88.89	2.94	2.11	0.004255
center	both	201174 Actinobacteria	2049 Actinomycetaceae	1660 Actinomyces odontolyticus [C]	ref_mOTU_v2_0375	98.99	53.68	5.25	0.004255
center	saliva	201174 Actinobacteria	2049 Actinomycetaceae	1660 Actinomyces odontolyticus [C]	ref_mOTU_v2_0375	98.99	53.68	5.2	0.004255
center	both	201174 Actinobacteria	2049 Actinomycetaceae	712124 Actinomyces sp. oral taxon 448	ref_mOTU_v2_5106	53.54	12.5	8.73	0.004255
center	both	201174 Actinobacteria	1268 Micrococcaceae	32207 Rothia sp. [C aeria/dentocariosa]	ref_mOTU_v2_0551	88.89	2.94	2.58	0.004255
center	saliva	976 Bacteroidetes	49546 Flavobacteriaceae	706435 Capnocytophaga sp. oral taxon 329	ref_mOTU_v2_4841	79.8	0	2.46	0.004255
center	both	976 Bacteroidetes	171552 Prevotellaceae	76122 Alloprevotella tannerae	ref_mOTU_v2_4636	94.95	4.41	3.6	0.004255
center	saliva	976 Bacteroidetes	171552 Prevotellaceae	228603 Prevotella shahii	ref_mOTU_v2_2104	32.32	0.74	2.89	0.004255
center	saliva	1224 Proteobacteria	712 Pasteurellaceae	739 Aggregatibacter segnis	ref_mOTU_v2_5107	64.65	5.15	9.01	0.00709166666666667
center	both	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0022	98.99	30.88	1.84	0.00709166666666667
center	both	976 Bacteroidetes	49546 Flavobacteriaceae	706435 Capnocytophaga sp. oral taxon 329	ref_mOTU_v2_4841	79.8	0	2.46	0.00709166666666667
center	both	976 Bacteroidetes	171552 Prevotellaceae	652721 Prevotella sp. oral taxon 317	ref_mOTU_v2_4554	72.73	0	2.79	0.00709166666666667
center	both	1239 Firmicutes	541000 Ruminococcaceae	853 Faecalibacterium prausnitzii	ref_mOTU_v2_4910	15.15	85.29	2.19	0.00880344827586207
center	both	1239 Firmicutes	909930 Acidaminococcaceae	187327 Acidaminococcus intestini [C]	ref_mOTU_v2_0391	1.01	23.53	9.39	0.00880344827586207
center	saliva	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0033	90.91	8.82	2.02	0.00880344827586207
center	both	1239 Firmicutes	186828 Carnobacteriaceae	46124 Granulicatella adiacens	ref_mOTU_v2_4659	97.98	44.12	2.58	0.00880344827586207
center	saliva	976 Bacteroidetes	171552 Prevotellaceae	652721 Prevotella sp. oral taxon 317	ref_mOTU_v2_4554	72.73	0	2.88	0.00880344827586207
center	both	1239 Firmicutes	31977 Veillonellaceae	29466 Veillonella parvula [C]	ref_mOTU_v2_1042	98.99	71.32	1.36	0.0109806451612903
center	both	976 Bacteroidetes	171552 Prevotellaceae	228603 Prevotella shahii	ref_mOTU_v2_2104	32.32	0.74	2.57	0.0109806451612903
center	both	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0025	88.89	2.94	1.86	0.0125147058823529
center	saliva	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0028	98.99	16.91	1.81	0.0125147058823529
center	saliva	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0030	97.98	27.94	1.82	0.0125147058823529
center	both	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0029	90.91	11.76	1.66	0.0138
center	saliva	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0031	100	58.09	1.82	0.0138
