"ASV_name" "size" "domain" "phylum" "class" "order" "family" "genus" "species" "consensus_taxonomy" "logFC" "logCPM" "LR" "PValue" "FDR" "log10P" "significant" "local_OTU_size" "local_sample_count"
"ASV_04141" "ASV_04141" 2520 "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Capnocytophaga" "Capnocytophaga sputigena" "Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga sputigena" -5.06425367702663 9.12808328955762 55.8504239871399 7.81998721270421e-14 4.12113326109512e-11 13.1067939571008 "TRUE" 2301 27
"ASV_07206" "ASV_07206" 2663 "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "FAM_Mogibacterium" "Mogibacterium" NA "Bacteria;Firmicutes;Clostridia;Clostridiales;FAM_Mogibacterium;Mogibacterium" -4.91637868134303 9.35172990743092 52.8835761300557 3.53916596133121e-13 8.10020558551181e-11 12.4510990716093 "TRUE" 2637 43
"ASV_06380" "ASV_06380" 1684 "Bacteria" NA NA NA NA NA NA "Bacteria" -4.06985695672517 9.00000921075255 52.3197142616063 4.7161608009172e-13 8.10020558551181e-11 12.3264113957397 "TRUE" 1668 49
"ASV_17577" "ASV_17577" 1543 "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "FAM_Mogibacterium" "Mogibacterium" "Mogibacterium vescum" "Bacteria;Firmicutes;Clostridia;Clostridiales;FAM_Mogibacterium;Mogibacterium;Mogibacterium vescum" -4.35260400916231 8.81781931477481 51.7990472372167 6.14816363226703e-13 8.10020558551181e-11 12.2112545823491 "TRUE" 1543 25
"ASV_05267" "ASV_05267" 1473 "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter" NA "Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter" -4.15044625546965 8.74533609673236 50.8947374023756 9.74545258541542e-13 1.02717070250279e-10 12.0111979871483 "TRUE" 1424 25
"ASV_02652" "ASV_02652" 2271 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella denticola" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola" -4.74332335546696 9.06322195061956 49.862286290305 1.6492441041456e-12 1.44858607147455e-10 11.7827150597966 "TRUE" 2152 27
"ASV_18339" "ASV_18339" 2622 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria" -5.66613315536887 9.49139772622476 48.6432510824105 3.07023028265165e-12 2.3114447985106e-10 11.5128290490394 "TRUE" 2619 27
"ASV_16415" "ASV_16415" 2275 "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Capnocytophaga" NA "Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga" -5.31402090491754 9.39843294406412 47.4584208358552 5.61830779029882e-12 3.46932267643397e-10 11.2503944723315 "TRUE" 2275 33
"ASV_18345" "ASV_18345" 1945 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria" -4.92234567639393 9.05704622055154 47.3542871171422 5.92483948537111e-12 3.46932267643397e-10 11.2273234109823 "TRUE" 1901 24
"ASV_03199" "ASV_03199" 1875 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" NA NA "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae" -4.34148864209537 8.82896879260438 46.1877513486384 1.07446609519114e-11 5.66243632165732e-10 10.9688072841313 "TRUE" 1875 24
"ASV_09551" "ASV_09551" 6621 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria" -5.78175773617279 10.7612283104946 45.7829012371529 1.32111686415246e-11 6.32935079462132e-10 10.879058763603 "TRUE" 6446 54
"ASV_02987" "ASV_02987" 2736 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella nigrescens" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nigrescens" -5.72064609963352 9.74435230876263 45.4730700339711 1.54751988684517e-11 6.79619150306172e-10 10.810363761247 "TRUE" 2723 33
"ASV_05213" "ASV_05213" 2330 "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter" NA "Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter" -4.63761479834389 9.17683660892571 45.1423030932758 1.83224415262682e-11 7.42763591103334e-10 10.737016655628 "TRUE" 2256 37
"ASV_04684" "ASV_04684" 1223 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Tannerella" "Tannerella forsythia" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;Tannerella forsythia" -3.80751041317191 8.67388337976893 39.0904492437178 4.04618536130125e-10 1.52309977528983e-08 9.39295422548357 "TRUE" 1223 24
"ASV_01967" "ASV_01967" 1623 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella pallens" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella pallens" -4.2882369880717 8.9139007391636 38.9082446211502 4.44200594766298e-10 1.56062475627893e-08 9.35242086428473 "TRUE" 1610 30
"ASV_09557" "ASV_09557" 5013 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" NA "Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria" -5.59401353439992 10.3654777943681 38.3437542699299 5.93176331011877e-10 1.95377454027037e-08 9.22681618656479 "TRUE" 4870 45
"ASV_13310" "ASV_13310" 864 "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" NA "Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium" -2.70288694632091 8.43459622044316 37.8794676763517 7.52530809358649e-10 2.33284550901181e-08 9.12347571492276 "TRUE" 864 26
"ASV_07204" "ASV_07204" 1131 "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "FAM_Mogibacterium" "Mogibacterium" NA "Bacteria;Firmicutes;Clostridia;Clostridiales;FAM_Mogibacterium;Mogibacterium" -3.0132534053315 8.49867423847051 36.395396343832 1.61083247702054e-09 4.71615952994347e-08 8.79294962288841 "TRUE" 1131 26
"ASV_14135" "ASV_14135" 1747 "Bacteria" NA NA NA NA NA NA "Bacteria" -4.48410516885142 8.91988829577584 35.5148297402231 2.53116162252064e-09 7.02064302667567e-08 8.59668012290661 "TRUE" 1680 23
"ASV_08898" "ASV_08898" 1508 "Bacteria" "Synergistetes" "Synergistia" "Synergistales" "Synergistaceae" "Fretibacterium" "Fretibacterium fastidiosum" "Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Fretibacterium;Fretibacterium fastidiosum" -3.73617754147527 8.79107331564859 34.9641500562554 3.35831945521463e-09 8.84917176449055e-08 8.47387799460711 "TRUE" 1481 34
"ASV_02398" "ASV_02398" 1264 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella shahii" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella shahii" -3.49167197209628 8.65706559246806 34.1654134948891 5.06206947325698e-09 1.2703383868602e-07 8.29567189875795 "TRUE" 1264 30
"ASV_11746" "ASV_11746" 1992 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Carnobacteriaceae" NA NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae" -4.10396425102937 9.10649809833072 34.0454129911177 5.38406824904939e-09 1.28972907602229e-07 8.26888944358392 "TRUE" 1852 23
"ASV_07596" "ASV_07596" 1282 "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Oribacterium" "Oribacterium sinus" "Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sinus" -2.44529024485081 8.42054152022095 33.6891414544915 6.46606187530921e-09 1.48157156882085e-07 8.18936014383569 "TRUE" 1273 23
"ASV_16563" "ASV_16563" 3537 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Porphyromonas" "Porphyromonas catoniae" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas catoniae" -5.2716063958367 10.0642978544629 31.6254570634876 1.8696256142525e-08 4.10538624462944e-07 7.72824535065203 "TRUE" 3537 38
"ASV_01969" "ASV_01969" 4830 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella pallens" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella pallens" -3.92226626385014 10.2453862229371 28.7039763976584 8.43303969811725e-08 1.77768476836312e-06 7.07401585524829 "TRUE" 4820 65
"ASV_02026" "ASV_02026" 2183 "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Prevotella nanceiensis" "Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nanceiensis" -3.19789948650166 8.86822077413479 28.373554840985 1.00022344591428e-07 2.02737598460317e-06 6.99990296951255 "TRUE" 1985 24
