""	"ASV_name"	"size"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"consensus_taxonomy"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"log10P"	"significant"	"local_OTU_size"	"local_sample_count"
"ASV_05267"	"ASV_05267"	1473	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA	"Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter"	-2.66062599163012	8.84068145070873	43.871129151281	3.50724380831841e-11	1.7045045177243e-08	10.4550340428077	"TRUE"	1424	25
"ASV_06380"	"ASV_06380"	1684	"Bacteria"	NA	NA	NA	NA	NA	NA	"Bacteria"	-3.46657853846016	8.91408313959595	42.6733662948977	6.46870784715103e-11	1.7045045177243e-08	10.1891824629011	"TRUE"	1668	49
"ASV_07206"	"ASV_07206"	2663	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"FAM_Mogibacterium"	"Mogibacterium"	NA	"Bacteria;Firmicutes;Clostridia;Clostridiales;FAM_Mogibacterium;Mogibacterium"	-3.92207026113117	9.49667141395783	40.7304157367498	1.74745985473667e-10	3.06970447815408e-08	9.75759279273055	"TRUE"	2637	43
"ASV_17577"	"ASV_17577"	1543	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"FAM_Mogibacterium"	"Mogibacterium"	"Mogibacterium vescum"	"Bacteria;Firmicutes;Clostridia;Clostridiales;FAM_Mogibacterium;Mogibacterium;Mogibacterium vescum"	-3.46974202390979	9.16617514675388	39.382184980197	3.4846166491435e-10	4.59098243524655e-08	9.4578449926934	"TRUE"	1543	25
"ASV_09551"	"ASV_09551"	6621	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	NA	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria"	-5.23731158916477	10.7635862877828	38.9356229899662	4.38014259337463e-10	4.61667029341686e-08	9.35851175102381	"TRUE"	6446	54
"ASV_02987"	"ASV_02987"	2736	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella nigrescens"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nigrescens"	-4.51360109127006	9.45943811994909	38.3523497278356	5.90569372649767e-10	5.18716765644045e-08	9.22872907960952	"TRUE"	2723	33
"ASV_09557"	"ASV_09557"	5013	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	NA	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria"	-5.22105897168674	10.3902918249959	37.7560417865717	8.01680418321758e-10	6.03550829222238e-08	9.09599872425925	"TRUE"	4870	45
"ASV_04141"	"ASV_04141"	2520	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Capnocytophaga"	"Capnocytophaga sputigena"	"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga sputigena"	-3.60956530893438	9.13349850914577	37.3816996155051	9.71292571363679e-10	6.39838981385823e-08	9.01264993282099	"TRUE"	2301	27
"ASV_02652"	"ASV_02652"	2271	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella denticola"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola"	-4.01527395874795	9.19282373014612	34.8486018076629	3.56365391257331e-09	2.08671734658459e-07	8.44810447948305	"TRUE"	2152	27
"ASV_18345"	"ASV_18345"	1945	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	NA	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria"	-3.52172172331261	9.31506073320693	32.5483156974869	1.1626584958679e-08	6.12721027322382e-07	7.93454783053363	"TRUE"	1901	24
"ASV_01969"	"ASV_01969"	4830	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella pallens"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella pallens"	-3.18012146587427	10.2554777104561	30.6900036668186	3.02720593522512e-08	1.4503068435124e-06	7.51895803378749	"TRUE"	4820	65
"ASV_14135"	"ASV_14135"	1747	"Bacteria"	NA	NA	NA	NA	NA	NA	"Bacteria"	-4.00535016452509	9.0463617275944	29.9605482884918	4.4092669162088e-08	1.93640305403503e-06	7.3556336102397	"TRUE"	1680	23
"ASV_08898"	"ASV_08898"	1508	"Bacteria"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Fretibacterium"	"Fretibacterium fastidiosum"	"Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Fretibacterium;Fretibacterium fastidiosum"	-2.48812940528641	8.91642853272292	28.8185684105194	7.94854038385528e-08	3.14939163717614e-06	7.09971261492047	"TRUE"	1481	34
"ASV_02398"	"ASV_02398"	1264	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella shahii"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella shahii"	-3.13946982782779	8.70501896767035	28.7193161680199	8.36650529800114e-08	3.14939163717614e-06	7.07745590959681	"TRUE"	1264	30
