	Df	Sum Sq	Mean Sq	F value	Pr(>F)	PctExp
Taxon	132	464.610262622981	3.51977471684077	3.62396305535763	9.4271898943539e-38	10.32
center	1	15.7230483534261	15.7230483534261	16.188464016686	5.83956885542452e-05	0.349
sex	1	6.72415197748914	6.72415197748914	6.92319262037958	0.00854094852507681	0.149
age	1	6.30341441190698	6.30341441190698	6.49000086342549	0.0108851761637171	0.14
periodontitis	1	1.66342321675309	1.66342321675309	1.7126619650101	0.190715093361834	0.037
smokingstatus	3	24.1416778269836	8.04722594232787	8.28543070486265	1.71412824707039e-05	0.536
alcohol_status	1	15.7491765404144	15.7491765404144	16.2153656203301	5.75755789998016e-05	0.35
metformin.ever	2	40.2769637636272	20.1384818818136	20.734598149562	1.09941601388268e-09	0.895
antibiotic	1	7.73766055638681	7.73766055638681	7.96670191904	0.00478795887996365	0.172
status	1	10.8768969726944	10.8768969726944	11.1988624150796	0.00082598308646595	0.242
Residuals	4024	3908.31066548207	0.971250165378249	NA	NA	86.811
